Address to use,City,State,Zip,Plus_Four,State,District,Rep. Name,master_Bioguide_id,master_bioguide_id,master_firstname,master_lastname,master_state,master_district,,
441 Vine Street,Cincinnati,OH,45202,3003,OH,1,Steve Chabot,C000266,C000266,Steve,Chabot,OH,1,,
#1 Estate Cane,St. Croix,VI,00840,4425,VI,0,Donna Christensen,C000380,C000380,Donna,Christensen,VI,0,,
176 Brooks Boulevard,Santee,SC,29142,8644,SC,6,James Clyburn,C000537,C000537,James,Clyburn,SC,6,,
1634 North Main Street,High Point,NC,27262,2644,NC,6,Howard Coble,C000556,C000556,Howard,Coble,NC,6,,
33300 Warren Rd,Westland,MI,48185,9620,MI,13,John Conyers,C000714,C000714,John,Conyers,MI,13,,
605 Church Street,Nashville,TN,37219,2314,TN,5,Jim Cooper,C000754,C000754,Jim,Cooper,TN,5,,
8267 Main Street,Ellicott City,MD,21043,9903,MD,7,Elijah Cummings,C000984,C000984,Elijah,Cummings,MD,7,,
485 Alisal Road,Solvang,CA,93463,3701,CA,24,Lois Capps,C001036,C001036,Lois,Capps,CA,24,,
1234 Columbus Avenue,Boston,MA,02120,3400,MA,7,Michael Capuano,C001037,C001037,Michael,Capuano,MA,7,,
74-09 37th Avenue,Queens,NY,11372,6303,NY,14,Joseph Crowley,C001038,C001038,Joseph,Crowley,NY,14,,
1061 Riverside Avenue,Jacksonville,FL,32204,4151,FL,4,Ander Crenshaw,C001045,C001045,Ander,Crenshaw,FL,4,,
4201 Dominion Boulevard,Glen Allen,VA,23060,6149,VA,7,Eric Cantor,C001046,C001046,Eric,Cantor,VA,7,,
300 Foxcroft Avenue,Martinsburg,WV,25401,5341,WV,2,Shelley Capito,C001047,C001047,Shelley,Capito,WV,2,,
1550 Foxlake Drive,Houston,TX,77084,6043,TX,7,John Culberson,C001048,C001048,John,Culberson,TX,7,,
8021 West Florissant Avenue,Jennings,MO,63136,1449,MO,1,Wm. Clay,C001049,C001049,Wm.,Clay,MO,1,,
6544 South General Bruce Drive,Temple,TX,76502,5811,TX,31,John Carter,C001051,C001051,John,Carter,TX,31,,
2420 Springer Drive,Norman,OK,73069,3965,OK,4,Tom Cole,C001053,C001053,Tom,Cole,OK,4,,
2222 M Street,Merced,CA,95340,3729,CA,16,Jim Costa,C001059,C001059,Jim,Costa,CA,16,,
101 West 31st Street,Kansas City,MO,64108,3318,MO,5,Emanuel Cleaver,C001061,C001061,Emanuel,Cleaver,MO,5,,
33 East Twohig Avenue,San Angelo,TX,76903,6451,TX,11,K. Conaway,C001062,C001062,K.,Conaway,TX,11,,
F-M 3167,Rio Grande City,TX,78582,6688,TX,28,Henry Cuellar,C001063,C001063,Henry,Cuellar,TX,28,,
26111 Antonio Parkway,Rancho Santa Margari,CA,92688,5597,CA,45,John Campbell,C001064,C001064,John,Campbell,CA,45,,
4144 North Armenia Avenue,Tampa,FL,33607,6435,FL,14,Kathy Castor,C001066,C001066,Kathy,Castor,FL,14,,
123 Linden Boulevard,Brooklyn,NY,11226,3888,NY,9,Yvette Clarke,C001067,C001067,Yvette,Clarke,NY,9,,
167 North Main Street,Memphis,TN,38103,1822,TN,9,Steve Cohen,C001068,C001068,Steve,Cohen,TN,9,,
77 Hazard Avenue,Enfield,CT,06082,3890,CT,2,Joe Courtney,C001069,C001069,Joe,Courtney,CT,2,,
300 East Fall Creek Parkway North Drive,Indianapolis,IN,46205,4258,IN,7,André Carson,C001072,C001072,AndrÃ©,Carson,IN,7,,
PO Box 426 ,Livingston,LA,70754,0426,LA,6,Bill Cassidy,C001075,C001075,Bill,Cassidy,LA,6,,
51 South University Avenue,Provo,UT,84601,4491,UT,3,Jason Chaffetz,C001076,C001076,Jason,Chaffetz,UT,3,,
3300 S. Parker Road,Aurora,CO,80014,3518,CO,6,Mike Coffman,C001077,C001077,Mike,Coffman,CO,6,,
4308 Ridgewood Center Drive,Woodbridge,VA,22192,5307,VA,11,Gerald Connolly,C001078,C001078,Gerald,Connolly,VA,11,,
87 North Raymond Avenue,Pasadena,CA,91103,3966,CA,27,Judy Chu,C001080,C001080,Judy,Chu,CA,27,,
201 North Walnut Street,Wilmington,DE,19801,3998,DE,0,John Carney,C001083,C001083,John,Carney,DE,0,,
1070 Main Street,Pawtucket,RI,02860,4974,RI,1,David Cicilline,C001084,C001084,David,Cicilline,RI,1,,
2400 East Highland Drive,Jonesboro,AR,72401,6229,AR,1,Eric Crawford,C001087,C001087,Eric,Crawford,AR,1,,
101 North Centre Street,Pottsville,PA,17901,2972,PA,17,Matthew Cartwright,C001090,C001090,Matthew,Cartwright,PA,17,,
6363 De Zavala Road,San Antonio,TX,78249,2104,TX,20,Joaquin Castro,C001091,C001091,Joaquin,Castro,TX,20,,
2813 Wehrle Drive,Williamsville,NY,14221,7384,NY,27,Chris Collins,C001092,C001092,Chris,Collins,NY,27,,
194 Remsdale Street,Toccoa,GA,30577,1899,GA,9,Doug Collins,C001093,C001093,Doug,Collins,GA,9,,
14955 Dale Evans Parkway,Apple Valley,CA,92307,3061,CA,8,Paul Cook,C001094,C001094,Paul,Cook,CA,8,,
221 West Main Street,Prescott,AR,71857,3608,AR,4,Tom Cotton,C001095,C001095,Tom,Cotton,AR,4,,
3003 32nd Avenue South,Fargo,ND,58103,6163,ND,0,Kevin Cramer,C001096,C001096,Kevin,Cramer,ND,0,,
14546 Hamlin Street,Los Angeles,CA,91411,4102,CA,29,Tony Cárdenas,C001097,C001097,Tony,CÃ¡rdenas,CA,29,,
16 Common Street,Watertown,MA,04901,6611,MA,5,Katherine Clark,C001101,C001101,Katherine,Clark,MA,5,,
3333 West Arthington Street,Chicago,IL,60624,4102,IL,7,Danny Davis,D000096,D000096,Danny,Davis,IL,7,,
PO Box 2460 ,Roseburg,OR,97470,0511,OR,4,Peter DeFazio,D000191,D000191,Peter,DeFazio,OR,4,,
600 Grant Street,Denver,CO,80203,3525,CO,1,Diana DeGette,D000197,D000197,Diana,DeGette,CO,1,,
300 State Street,New Haven,CT,01105,1711,CT,3,Rosa DeLauro,D000216,D000216,Rosa,DeLauro,CT,3,,
301 West Michigan Avenue,Ypsilanti,MI,48197,5450,MI,12,John Dingell,D000355,D000355,John,Dingell,MI,12,,
1313 Southeast Military Drive,San Antonio,TX,78214,2850,TX,35,Lloyd Doggett,D000399,D000399,Lloyd,Doggett,TX,35,,
11 Duff Road,Pittsburgh,PA,15235,3263,PA,14,Michael Doyle,D000482,D000482,Michael,Doyle,PA,14,,
200 East Broadway Avenue,Maryville,TN,37804,5782,TN,2,John Duncan,D000533,D000533,John,Duncan,TN,2,,
2700 Adams Avenue,San Diego,CA,92116,1367,CA,53,Susan Davis,D000598,D000598,Susan,Davis,CA,53,,
4715 Golden Gate Parkway,Naples,FL,34116,6901,FL,25,Mario Diaz-Balart,D000600,D000600,Mario,Diaz-Balart,FL,25,,
1101 Airport Road,Bethlehem,PA,92215,1800,PA,15,Charles Dent,D000604,D000604,Charles,Dent,PA,15,,
5790 Margate Boulevard,Margate,FL,33063,3614,FL,21,Theodore Deutch,D000610,D000610,Theodore,Deutch,FL,21,,
3509 Coffee Road,Modesto,CA,95355,1356,CA,10,Jeff Denham,D000612,D000612,Jeff,Denham,CA,10,,
208 Grand Avenue,Wausau,WI,54403,6217,WI,7,Sean Duffy,D000614,D000614,Sean,Duffy,WI,7,,
207 Maxwell Avenue,Anderson,SC,00802,5820,SC,3,Jeff Duncan,D000615,D000615,Jeff,Duncan,SC,3,,
305 West Main Street,Murfreesboro,TN,37130,3547,TN,4,Scott DesJarlais,D000616,D000616,Scott,DesJarlais,TN,4,,
204 W. Montgomery Street,Mount Vernon,WA,98273,3843,WA,1,Suzan DelBene,D000617,D000617,Suzan,DelBene,WA,1,,
2603 Wheat Drive,Bozeman,MT,56750,4800,MT,0,Steve Daines,D000618,D000618,Steve,Daines,MT,0,,
235 South 6th Street,Springfield,IL,62701,1502,IL,13,Rodney Davis,D000619,D000619,Rodney,Davis,IL,13,,
1800 Dual Highway,Hagerstown,MD,21742,6646,MD,6,John Delaney,D000620,D000620,John,Delaney,MD,6,,
3000 North Ponce De Leon Boulevard,St. Augustine,FL,32084,8600,FL,6,Ron DeSantis,D000621,D000621,Ron,DeSantis,FL,6,,
150 South Bloomingdale Road,Bloomingdale,IL,60108,1494,IL,8,Tammy Duckworth,D000622,D000622,Tammy,Duckworth,IL,8,,
6 Gramatan Avenue,Mount Vernon,NY,10550,3208,NY,16,Eliot Engel,E000179,E000179,Eliot,Engel,NY,16,,
698 Emerson Street,Palo Alto,CA,94301,1609,CA,18,Anna Eshoo,E000215,E000215,Anna,Eshoo,CA,18,,
2100 Plymouth Avenue North,Minneapolis,MN,55411,3675,MN,5,Keith Ellison,E000288,E000288,Keith,Ellison,MN,5,,
5001 Silver Hill Road,Suitland-Silver Hill,MD,20746,5208,MD,4,Donna Edwards,E000290,E000290,Donna,Edwards,MD,4,,
222 Sunset Avenue,Asheboro,NC,27203,5658,NC,2,Renee Ellmers,E000291,E000291,Renee,Ellmers,NC,2,,
201 East Nolen Street,West Frankfort,IL,62896,2437,IL,12,William Enyart,E000292,E000292,William,Enyart,IL,12,,
50 Washington Road,Woodbury,CT,08550,1012,CT,5,Elizabeth Esty,E000293,E000293,Elizabeth,Esty,CT,5,,
PO Box 7248,Pago Pago,AS,96799,6296,AS,0,Eni Faleomavaega,F000010,F000010,Eni,Faleomavaega,AS,0,,
701 Ocean Street,Santa Cruz,CA,95060,4027,CA,20,Sam Farr,F000030,F000030,Sam,Farr,CA,20,,
6632 Germantown Avenue,Philadelphia,PA,19119,2250,PA,2,Chaka Fattah,F000043,F000043,Chaka,Fattah,PA,2,,
30 Schuyler Place,Morristown,NJ,07960,5193,NJ,11,Rodney Frelinghuysen,F000372,F000372,Rodney,Frelinghuysen,NJ,11,,
425 South Main Street,Emporia,VA,23847,2300,VA,4,J. Forbes,F000445,F000445,J.,Forbes,VA,4,,
7121 West Bell Road,Glendale,AZ,85308,8549,AZ,8,Trent Franks,F000448,F000448,Trent,Franks,AZ,8,,
125 South 4th Street,Norfolk,NE,68701,5200,NE,1,Jeff Fortenberry,F000449,F000449,Jeff,Fortenberry,NE,1,,
6000 Meadowbrook Mall Court,Clemmons,NC,27012,8775,NC,5,Virginia Foxx,F000450,F000450,Virginia,Foxx,NC,5,,
1717 Newtown Pike,Langhorne,PA,19047,1086,PA,8,Michael Fitzpatrick,F000451,F000451,Michael,Fitzpatrick,PA,8,,
2701 Black Road,Joliet,IL,60435,8412,IL,11,Bill Foster,F000454,F000454,Bill,Foster,IL,11,,
4834 Richmond Road,Warrensville Heights,OH,44128,6408,OH,11,Marcia Fudge,F000455,F000455,Marcia,Fudge,OH,11,,
6425 Youree Drive,Shreveport,LA,71105,4634,LA,4,John Fleming,F000456,F000456,John,Fleming,LA,4,,
7975 Stage Hills Boulevard,Memphis,TN,38133,4036,TN,8,Stephen Fincher,F000458,F000458,Stephen,Fincher,TN,8,,
200 Administration Road,Oak Ridge,TN,37839,8823,TN,3,Charles Fleischmann,F000459,F000459,Charles,Fleischmann,TN,3,,
1501 East Mockingbird Lane,Victoria,TX,77904,2194,TX,27,Blake Farenthold,F000460,F000460,Blake,Farenthold,TX,27,,
600 Austin Avenue,Waco,TX,76710,2018,TX,17,Bill Flores,F000461,F000461,Bill,Flores,TX,17,,
3111 South Dixie Highway,West Palm Beach,FL,33405,1553,FL,22,Lois Frankel,F000462,F000462,Lois,Frankel,FL,22,,
7 Court Square,Staunton,VA,24401,4281,VA,6,Bob Goodlatte,G000289,G000289,Bob,Goodlatte,VA,6,,
1701 River Run Road,Fort Worth,TX,76107,6529,TX,12,Kay Granger,G000377,G000377,Kay,Granger,TX,12,,
256 North Sam Houston Parkway East,Houston,TX,77060,2028,TX,29,Gene Green,G000410,G000410,Gene,Green,TX,29,,
3240 W. Fullerton Ave,Chicago,IL,60647,2512,IL,4,Luis Gutierrez,G000535,G000535,Luis,Gutierrez,IL,4,,
201 South 8th Street,St. Joseph,MO,64501,2275,MO,6,Sam Graves,G000546,G000546,Sam,Graves,MO,6,,
266 Harristown Road,Glen Rock,NJ,07452,3321,NJ,5,Scott Garrett,G000548,G000548,Scott,Garrett,NJ,5,,
840 North Park Road,Wyomissing,PA,19610,1307,PA,6,Jim Gerlach,G000549,G000549,Jim,Gerlach,PA,6,,
219 Roswell Street,Marietta,GA,30060,2063,GA,11,Phil Gingrey,G000550,G000550,Phil,Gingrey,GA,11,,
738 North 5th Avenue,Tucson,AZ,85705,8485,AZ,3,Raúl Grijalva,G000551,G000551,Raúl,Grijalva,AZ,3,,
1121 East Southeast Loop 323,Tyler,TX,75701,9660,TX,1,Louie Gohmert,G000552,G000552,Louie,Gohmert,TX,1,,
3003 South Loop West Freeway,Houston,TX,77054,1301,TX,9,Al Green,G000553,G000553,Al,Green,TX,9,,
101 North Church Street,Kissimmee,FL,34741,5054,FL,9,Alan Grayson,G000556,G000556,Alan,Grayson,FL,9,,
411 West Lincoln Trail Boulevard,Radcliff,KY,40160,2046,KY,2,Brett Guthrie,G000558,G000558,Brett,Guthrie,KY,2,,
712 Main Street,Woodland,CA,95695,3478,CA,3,John Garamendi,G000559,G000559,John,Garamendi,CA,3,,
600 East 1st Street,Rome,GA,30161,3149,GA,14,Tom Graves,G000560,G000560,Tom,Graves,GA,14,,
109 South 3rd Street,Sterling,CO,80751,4220,CO,4,Cory Gardner,G000562,G000562,Cory,Gardner,CO,4,,
810 Otsego Avenue,Coshocton,OH,49770,1780,OH,7,Bob Gibbs,G000563,G000563,Bob,Gibbs,OH,7,,
78 Center Street,Ellenville,NY,01201,6172,NY,19,Christopher Gibson,G000564,G000564,Christopher,Gibson,NY,19,,
240 South Montezuma Street,Prescott,AZ,86303,4712,AZ,4,Paul Gosar,G000565,G000565,Paul,Gosar,AZ,4,,
101 West Saint John Street,Spartanburg,SC,29306,5167,SC,4,Trey Gowdy,G000566,G000566,Trey,Gowdy,SC,4,,
1501 North University Avenue,Little Rock,AR,72207,5242,AR,2,Tim Griffin,G000567,G000567,Tim,Griffin,AR,2,,
323 West Main Street,Abingdon,VA,24210,2605,VA,9,H. Griffith,G000568,G000568,H.,Griffith,VA,9,,
265 New Dorp Lane,Staten Island,NY,10306,3005,NY,11,Michael Grimm,G000569,G000569,Michael,Grimm,NY,11,,
300 Ala Moana Blvd,Honolulu,HI,96850,0001,HI,2,Tulsi Gabbard,G000571,G000571,Tulsi,Gabbard,HI,2,,
103 West Callaghan Street,Fort Stockton,TX,79735,7104,TX,23,Pete Gallego,G000572,G000572,Pete,Gallego,TX,23,,
12851 Southwest 42nd Street,Miami,FL,33175,3436,FL,26,Joe Garcia,G000573,G000573,Joe,Garcia,FL,26,,
4303 Texas Boulevard,Texarkana,TX,75503,3094,TX,4,Ralph Hall,H000067,H000067,Ralph,Hall,TX,4,,
1755 Tiffany Drive East,West Palm Beach,FL,33407,3224,FL,20,Alcee Hastings,H000324,H000324,Alcee,Hastings,FL,20,,
402 East Yakima Avenue,Yakima,WA,98901,5410,WA,4,Doc Hastings,H000329,H000329,Doc,Hastings,WA,4,,
100 South Austin Street,Seguin,TX,78155,5702,TX,15,Rubén Hinojosa,H000636,H000636,Rubén,Hinojosa,TX,15,,
401 Post Office Road,Waldorf,MD,20602,2738,MD,5,Steny Hoyer,H000874,H000874,Steny,Hoyer,MD,5,,
50 Washington Rd,West Windsor,NJ,08550,1031,NJ,12,Rush Holt,H001032,H001032,Rush,Holt,NJ,12,,
39300 Civic Center Drive,Fremont,CA,94538,2324,CA,17,Michael Honda,H001034,H001034,Michael,Honda,CA,17,,
6510 Abrams Road,Dallas,TX,75231,7278,TX,5,Jeb Hensarling,H001036,H001036,Jeb,Hensarling,TX,5,,
29 Broadway,Buffalo,NY,02780,3208,NY,26,Brian Higgins,H001038,H001038,Brian,Higgins,NY,26,,
1 Research Boulevard,Starkville,MS,39759,8749,MS,3,Gregg Harper,H001045,H001045,Gregg,Harper,MS,3,,
888 Washington Boulevard,Stamford,CT,06901,2902,CT,4,James Himes,H001047,H001047,James,Himes,CT,4,,
41000 Main St.,Temecula,CA,92590,2764,CA,50,Duncan Hunter,H001048,H001048,Duncan,Hunter,CA,50,,
300 Ala Moana Boulevard,Honolulu,HI,96850,5104,HI,1,Colleen Hanabusa,H001050,H001050,Colleen,Hanabusa,HI,1,,
131 Main Street,Oneida,NY,13421,1641,NY,22,Richard Hanna,H001051,H001051,Richard,Hanna,NY,22,,
212 West Main Street,Salisbury,MD,21801,5026,MD,1,Andy Harris,H001052,H001052,Andy,Harris,MD,1,,
415 South Ohio Avenue,Sedalia,MO,65301,4435,MO,4,Vicky Hartzler,H001053,H001053,Vicky,Hartzler,MO,4,,
8485 West Sunset Road,Las Vegas,NV,89113,2251,NV,3,Joseph Heck,H001055,H001055,Joseph,Heck,NV,3,,
750 Anderson Street,Vancouver,WA,98661,3853,WA,3,Jaime Herrera Beutler,H001056,H001056,Jaime,Herrera Beutler,WA,3,,
119 West Iron Avenue,Salina,KS,67402,2600,KS,1,Tim Huelskamp,H001057,H001057,Tim,Huelskamp,KS,1,,
900 3rd Street,Muskegon,MI,49440,1135,MI,2,Bill Huizenga,H001058,H001058,Bill,Huizenga,MI,2,,
1797 West State Street,Geneva,IL,60134,4710,IL,14,Randy Hultgren,H001059,H001059,Randy,Hultgren,IL,14,,
1301 Kings Highway,Keysville,VA,65401,3136,VA,5,Robert Hurt,H001060,H001060,Robert,Hurt,VA,5,,
140 W 6TH ST,San Pedro,CA,90731,3314,CA,44,Janice Hahn,H001063,H001063,Janice,Hahn,CA,44,,USPS Lookup
811 Main Street,Buckley,WA,98321,8259,WA,10,Denny Heck,H001064,H001064,Denny,Heck,WA,10,,USPS Lookup
1300 Saint Marys Street,Raleigh,NC,27605,1276,NC,13,George Holding,H001065,H001065,George,Holding,NC,13,,USPS Lookup
2250 Las Vegas Blvd. North,North Las Vegas,NV,89030,5877,NV,4,Steven Horsford,H001066,H001066,Steven,Horsford,NV,4,,USPS Lookup
230 East Franklin Street,Rockingham,NC,28379,3627,NC,8,Richard Hudson,H001067,H001067,Richard,Hudson,NC,8,,USPS Lookup
1050 Northgate Drive,San Rafael,CA,94903,2580,CA,2,Jared Huffman,H001068,H001068,Jared,Huffman,CA,2,,USPS Lookup
1800 Thibodo Road,Vista,CA,92081,7515,CA,49,Darrell Issa,I000056,I000056,Darrell,Issa,CA,49,,USPS Lookup
,,,,,,,,,I000057,Steve,Israel,NY,3,,USPS Lookup
6719 West Montgomery Road,Houston,TX,77091,3105,TX,18,Sheila Jackson Lee,J000032,J000032,Sheila,Jackson Lee,TX,18,,USPS Lookup
3102 Maple Avenue,Dallas,TX,75201,1236,TX,30,Eddie Johnson,J000126,J000126,Eddie,Johnson,TX,30,,USPS Lookup
2929 North Central Expressway,Richardson,TX,75080,2000,TX,3,Sam Johnson,J000174,J000174,Sam,Johnson,TX,3,,USPS Lookup
201 North Front Street,Wilmington,NC,28401,5093,NC,3,Walter Jones,J000255,J000255,Walter,Jones,NC,3,,USPS Lookup
3469 Lawrenceville Highway,Tucker,GA,30084,5866,GA,4,Henry Johnson,J000288,J000288,Henry,Johnson,GA,4,,USPS Lookup
11 East Main Street,Norwalk,OH,44857,1512,OH,4,Jim Jordan,J000289,J000289,Jim,Jordan,OH,4,,USPS Lookup
3550 Southwest 5th Street,Topeka,KS,66606,1998,KS,2,Lynn Jenkins,J000290,J000290,Lynn,Jenkins,KS,2,,USPS Lookup
258 Front Street,Marietta,OH,45750,2908,OH,6,Bill Johnson,J000292,J000292,Bill,Johnson,OH,6,,USPS Lookup
10408 Flatlands Avenue ,Brooklyn,NY,11236,2806,NY,8,Hakeem Jeffries,J000294,J000294,Hakeem,Jeffries,NY,8,,USPS Lookup
10075 Ravenna Road,Twinsburg,OH,44087,1718,OH,14,David Joyce,J000295,J000295,David,Joyce,OH,14,,USPS Lookup
9210 113th Street,Seminole,FL,33772,2800,FL,13,David Jolly,J000296,J000296,David,Jolly,FL,13,,USPS Lookup
205 West 20th Street,Lorain,OH,44052,3777,OH,9,Marcy Kaptur,K000009,K000009,Marcy,Kaptur,OH,9,,USPS Lookup
205 5th Avenue South,La Crosse,WI,54601,4059,WI,3,Ron Kind,K000188,K000188,Ron,Kind,WI,3,,USPS Lookup
1003 Park Boulevard,Massapequa Park,NY,11762,2758,NY,2,Peter King,K000210,K000210,Peter,King,NY,2,,USPS Lookup
1 Diamond Causeway,Savannah,GA,31406,7434,GA,1,Jack Kingston,K000220,K000220,Jack,Kingston,GA,1,,USPS Lookup
800 Oneida Street,Storm Lake,IA,50588,3209,IA,4,Steve King,K000362,K000362,Steve,King,IA,4,,USPS Lookup
15115 Cedar Avenue,Apple Valley,MN,86004,,MN,2,John Kline,K000363,K000363,John,Kline,MN,2,,USPS Lookup
211 North Florence Street,Casa Grande,AZ,85122,4414,AZ,1,Ann Kirkpatrick,K000368,K000368,Ann,Kirkpatrick,AZ,1,,USPS Lookup
,,,,,,,,,K000375,William,Keating,MA,9,,USPS Lookup
208 East Bayfront Parkway,Erie,PA,16507,2405,PA,3,Mike Kelly,K000376,K000376,Mike,Kelly,PA,3,,USPS Lookup
415 South Mulford Road,Rockford,IL,61108,3011,IL,16,Adam Kinzinger,K000378,K000378,Adam,Kinzinger,IL,16,,USPS Lookup
29 Crafts Street,Newton,MA,02458,1275,MA,4,Joseph Kennedy,K000379,K000379,Joseph,Kennedy,MA,4,,USPS Lookup
258 1st Street,Fenton,MI,13502,4636,MI,5,Daniel Kildee,K000380,K000380,Daniel,Kildee,MI,5,,USPS Lookup
1019 Pacific Avenue,Tacoma,WA,98402,4486,WA,6,Derek Kilmer,K000381,K000381,Derek,Kilmer,WA,6,,USPS Lookup
34 Mechanic Street,Lebanon,NH,01608,2424,NH,2,Ann Kuster,K000382,K000382,Ann,Kuster,NH,2,,USPS Lookup
17926 South Halsted Street,Homewood,IL,60430,2029,IL,2,Robin Kelly,K000385,K000385,Robin,Kelly,IL,2,,USPS Lookup
