Address to use,City,State,Zip,Plus_Four,State,District,Rep. Name,Bio_ID
6544 South General Bruce Drive,Temple,TX,76502,5811,TX,31,John Carter,C001051
2420 Springer Drive,Norman,OK,73069,3965,OK,4,Tom Cole,C001053
2222 M Street,Merced,CA,95340,3729,CA,16,Jim Costa,C001059
101 West 31st Street,Kansas City,MO,64108,3318,MO,5,Emanuel Cleaver,C001061
33 East Twohig Avenue,San Angelo,TX,76903,6451,TX,11,K. Conaway,C001062
F-M 3167,Rio Grande City,TX,78582,6688,TX,28,Henry Cuellar,C001063
26111 Antonio Parkway,Rancho Santa Margari,CA,92688,5597,CA,45,John Campbell,C001064
4144 North Armenia Avenue,Tampa,FL,33607,6435,FL,14,Kathy Castor,C001066
123 Linden Boulevard,Brooklyn,NY,11226,3888,NY,9,Yvette Clarke,C001067
167 North Main Street,Memphis,TN,38103,1822,TN,9,Steve Cohen,C001068
77 Hazard Avenue,Enfield,CT,06082,3890,CT,2,Joe Courtney,C001069
300 East Fall Creek Parkway North Drive,Indianapolis,IN,46205,4258,IN,7,André Carson,C001072
PO Box 426 ,Livingston,LA,70754,0426,LA,6,Bill Cassidy,C001075
51 South University Avenue,Provo,UT,84601,4491,UT,3,Jason Chaffetz,C001076
3300 S. Parker Road,Aurora,CO,80014,3518,CO,6,Mike Coffman,C001077
4308 Ridgewood Center Drive,Woodbridge,VA,22192,5307,VA,11,Gerald Connolly,C001078
87 North Raymond Avenue,Pasadena,CA,91103,3966,CA,27,Judy Chu,C001080
201 North Walnut Street,Wilmington,DE,19801,3998,DE,0,John Carney,C001083
1070 Main Street,Pawtucket,RI,02860,4974,RI,1,David Cicilline,C001084
2400 East Highland Drive,Jonesboro,AR,72401,6229,AR,1,Eric Crawford,C001087
101 North Centre Street,Pottsville,PA,17901,2972,PA,17,Matthew Cartwright,C001090
6363 De Zavala Road,San Antonio,TX,78249,2104,TX,20,Joaquin Castro,C001091
2813 Wehrle Drive,Williamsville,NY,14221,7384,NY,27,Chris Collins,C001092
194 Remsdale Street,Toccoa,GA,30577,1899,GA,9,Doug Collins,C001093
14955 Dale Evans Parkway,Apple Valley,CA,92307,3061,CA,8,Paul Cook,C001094
221 West Main Street,Prescott,AR,71857,3608,AR,4,Tom Cotton,C001095
3003 32nd Avenue South,Fargo,ND,58103,6163,ND,0,Kevin Cramer,C001096
14546 Hamlin Street,Los Angeles,CA,91411,4102,CA,29,Tony Cárdenas,C001097
16 Common Street,Watertown,MA,04901,6611,MA,5,Katherine Clark,C001101
3333 West Arthington Street,Chicago,IL,60624,4102,IL,7,Danny Davis,D000096
PO Box 2460 ,Roseburg,OR,97470,0511,OR,4,Peter DeFazio,D000191
600 Grant Street,Denver,CO,80203,3525,CO,1,Diana DeGette,D000197
300 State Street,New Haven,CT,01105,1711,CT,3,Rosa DeLauro,D000216
301 West Michigan Avenue,Ypsilanti,MI,48197,5450,MI,12,John Dingell,D000355
1313 Southeast Military Drive,San Antonio,TX,78214,2850,TX,35,Lloyd Doggett,D000399
11 Duff Road,Pittsburgh,PA,15235,3263,PA,14,Michael Doyle,D000482
200 East Broadway Avenue,Maryville,TN,37804,5782,TN,2,John Duncan,D000533
2700 Adams Avenue,San Diego,CA,92116,1367,CA,53,Susan Davis,D000598
4715 Golden Gate Parkway,Naples,FL,34116,6901,FL,25,Mario Diaz-Balart,D000600
1101 Airport Road,Bethlehem,PA,92215,1800,PA,15,Charles Dent,D000604
5790 Margate Boulevard,Margate,FL,33063,3614,FL,21,Theodore Deutch,D000610
3509 Coffee Road,Modesto,CA,95355,1356,CA,10,Jeff Denham,D000612
208 Grand Avenue,Wausau,WI,54403,6217,WI,7,Sean Duffy,D000614
207 Maxwell Avenue,Anderson,SC,00802,5820,SC,3,Jeff Duncan,D000615
305 West Main Street,Murfreesboro,TN,37130,3547,TN,4,Scott DesJarlais,D000616
204 W. Montgomery Street,Mount Vernon,WA,98273,3843,WA,1,Suzan DelBene,D000617
2603 Wheat Drive,Bozeman,MT,56750,4800,MT,0,Steve Daines,D000618
235 South 6th Street,Springfield,IL,62701,1502,IL,13,Rodney Davis,D000619
1800 Dual Highway,Hagerstown,MD,21742,6646,MD,6,John Delaney,D000620
3000 North Ponce De Leon Boulevard,St. Augustine,FL,32084,8600,FL,6,Ron DeSantis,D000621
150 South Bloomingdale Road,Bloomingdale,IL,60108,1494,IL,8,Tammy Duckworth,D000622
6 Gramatan Avenue,Mount Vernon,NY,10550,3208,NY,16,Eliot Engel,E000179
698 Emerson Street,Palo Alto,CA,94301,1609,CA,18,Anna Eshoo,E000215
2100 Plymouth Avenue North,Minneapolis,MN,55411,3675,MN,5,Keith Ellison,E000288
5001 Silver Hill Road,Suitland-Silver Hill,MD,20746,5208,MD,4,Donna Edwards,E000290
222 Sunset Avenue,Asheboro,NC,27203,5658,NC,2,Renee Ellmers,E000291
201 East Nolen Street,West Frankfort,IL,62896,2437,IL,12,William Enyart,E000292
50 Washington Road,Woodbury,CT,08550,1012,CT,5,Elizabeth Esty,E000293
PO Box 7248,Pago Pago,AS,96799,6296,AS,0,Eni Faleomavaega,F000010
701 Ocean Street,Santa Cruz,CA,95060,4027,CA,20,Sam Farr,F000030
6632 Germantown Avenue,Philadelphia,PA,19119,2250,PA,2,Chaka Fattah,F000043
30 Schuyler Place,Morristown,NJ,07960,5193,NJ,11,Rodney Frelinghuysen,F000372
425 South Main Street,Emporia,VA,23847,2300,VA,4,J. Forbes,F000445
7121 West Bell Road,Glendale,AZ,85308,8549,AZ,8,Trent Franks,F000448
125 South 4th Street,Norfolk,NE,68701,5200,NE,1,Jeff Fortenberry,F000449
6000 Meadowbrook Mall Court,Clemmons,NC,27012,8775,NC,5,Virginia Foxx,F000450
1717 Newtown Pike,Langhorne,PA,19047,1086,PA,8,Michael Fitzpatrick,F000451
2701 Black Road,Joliet,IL,60435,8412,IL,11,Bill Foster,F000454
4834 Richmond Road,Warrensville Heights,OH,44128,6408,OH,11,Marcia Fudge,F000455
6425 Youree Drive,Shreveport,LA,71105,4634,LA,4,John Fleming,F000456
7975 Stage Hills Boulevard,Memphis,TN,38133,4036,TN,8,Stephen Fincher,F000458
200 Administration Road,Oak Ridge,TN,37839,8823,TN,3,Charles Fleischmann,F000459
1501 East Mockingbird Lane,Victoria,TX,77904,2194,TX,27,Blake Farenthold,F000460
600 Austin Avenue,Waco,TX,76710,2018,TX,17,Bill Flores,F000461
3111 South Dixie Highway,West Palm Beach,FL,33405,1553,FL,22,Lois Frankel,F000462
7 Court Square,Staunton,VA,24401,4281,VA,6,Bob Goodlatte,G000289
1701 River Run Road,Fort Worth,TX,76107,6529,TX,12,Kay Granger,G000377
256 North Sam Houston Parkway East,Houston,TX,77060,2028,TX,29,Gene Green,G000410
3240 W. Fullerton Ave,Chicago,IL,60647,2512,IL,4,Luis Gutierrez,G000535
201 South 8th Street,St. Joseph,MO,64501,2275,MO,6,Sam Graves,G000546
266 Harristown Road,Glen Rock,NJ,07452,3321,NJ,5,Scott Garrett,G000548
840 North Park Road,Wyomissing,PA,19610,1307,PA,6,Jim Gerlach,G000549
219 Roswell Street,Marietta,GA,30060,2063,GA,11,Phil Gingrey,G000550
738 North 5th Avenue,Tucson,AZ,85705,8485,AZ,3,Raúl Grijalva,G000551
1121 East Southeast Loop 323,Tyler,TX,75701,9660,TX,1,Louie Gohmert,G000552
3003 South Loop West Freeway,Houston,TX,77054,1301,TX,9,Al Green,G000553
101 North Church Street,Kissimmee,FL,34741,5054,FL,9,Alan Grayson,G000556
411 West Lincoln Trail Boulevard,Radcliff,KY,40160,2046,KY,2,Brett Guthrie,G000558
712 Main Street,Woodland,CA,95695,3478,CA,3,John Garamendi,G000559
600 East 1st Street,Rome,GA,30161,3149,GA,14,Tom Graves,G000560
109 South 3rd Street,Sterling,CO,80751,4220,CO,4,Cory Gardner,G000562
810 Otsego Avenue,Coshocton,OH,49770,1780,OH,7,Bob Gibbs,G000563
78 Center Street,Ellenville,NY,01201,6172,NY,19,Christopher Gibson,G000564
240 South Montezuma Street,Prescott,AZ,86303,4712,AZ,4,Paul Gosar,G000565
101 West Saint John Street,Spartanburg,SC,29306,5167,SC,4,Trey Gowdy,G000566
1501 North University Avenue,Little Rock,AR,72207,5242,AR,2,Tim Griffin,G000567
323 West Main Street,Abingdon,VA,24210,2605,VA,9,H. Griffith,G000568
265 New Dorp Lane,Staten Island,NY,10306,3005,NY,11,Michael Grimm,G000569
300 Ala Moana Blvd,Honolulu,HI,96850,0001,HI,2,Tulsi Gabbard,G000571
103 West Callaghan Street,Fort Stockton,TX,79735,7104,TX,23,Pete Gallego,G000572
12851 Southwest 42nd Street,Miami,FL,33175,3436,FL,26,Joe Garcia,G000573
4303 Texas Boulevard,Texarkana,TX,75503,3094,TX,4,Ralph Hall,H000067
1755 Tiffany Drive East,West Palm Beach,FL,33407,3224,FL,20,Alcee Hastings,H000324
402 East Yakima Avenue,Yakima,WA,98901,5410,WA,4,Doc Hastings,H000329
100 South Austin Street,Seguin,TX,78155,5702,TX,15,Rubén Hinojosa,H000636
401 Post Office Road,Waldorf,MD,20602,2738,MD,5,Steny Hoyer,H000874
50 Washington Rd,West Windsor,NJ,08550,1031,NJ,12,Rush Holt,H001032
39300 Civic Center Drive,Fremont,CA,94538,2324,CA,17,Michael Honda,H001034
6510 Abrams Road,Dallas,TX,75231,7278,TX,5,Jeb Hensarling,H001036
29 Broadway,Buffalo,NY,02780,3208,NY,26,Brian Higgins,H001038
1 Research Boulevard,Starkville,MS,39759,8749,MS,3,Gregg Harper,H001045
888 Washington Boulevard,Stamford,CT,06901,2902,CT,4,James Himes,H001047
41000 Main St.,Temecula,CA,92590,2764,CA,50,Duncan Hunter,H001048
300 Ala Moana Boulevard,Honolulu,HI,96850,5104,HI,1,Colleen Hanabusa,H001050
131 Main Street,Oneida,NY,13421,1641,NY,22,Richard Hanna,H001051
212 West Main Street,Salisbury,MD,21801,5026,MD,1,Andy Harris,H001052
415 South Ohio Avenue,Sedalia,MO,65301,4435,MO,4,Vicky Hartzler,H001053
8485 West Sunset Road,Las Vegas,NV,89113,2251,NV,3,Joseph Heck,H001055
750 Anderson Street,Vancouver,WA,98661,3853,WA,3,Jaime Herrera Beutler,H001056
119 West Iron Avenue,Salina,KS,67402,2600,KS,1,Tim Huelskamp,H001057
900 3rd Street,Muskegon,MI,49440,1135,MI,2,Bill Huizenga,H001058
1797 West State Street,Geneva,IL,60134,4710,IL,14,Randy Hultgren,H001059
1301 Kings Highway,Keysville,VA,65401,3136,VA,5,Robert Hurt,H001060
140 W 6TH ST,San Pedro,CA,90731,3314,CA,44,Janice Hahn,H001063
811 Main Street,Buckley,WA,98321,8259,WA,10,Denny Heck,H001064
1300 Saint Marys Street,Raleigh,NC,27605,1276,NC,13,George Holding,H001065
2250 Las Vegas Blvd. North,North Las Vegas,NV,89030,5877,NV,4,Steven Horsford,H001066
230 East Franklin Street,Rockingham,NC,28379,3627,NC,8,Richard Hudson,H001067
1050 Northgate Drive,San Rafael,CA,94903,2580,CA,2,Jared Huffman,H001068
1800 Thibodo Road,Vista,CA,92081,7515,CA,49,Darrell Issa,I000056
534 Broad Hollow Road,Melville,NY,11747,3673,NY,3,Steve Israel,I000057
6719 West Montgomery Road,Houston,TX,77091,3105,TX,18,Sheila Jackson Lee,J000032
3102 Maple Avenue,Dallas,TX,75201,1236,TX,30,Eddie Johnson,J000126
2929 North Central Expressway,Richardson,TX,75080,2000,TX,3,Sam Johnson,J000174
201 North Front Street,Wilmington,NC,28401,5093,NC,3,Walter Jones,J000255
3469 Lawrenceville Highway,Tucker,GA,30084,5866,GA,4,Henry Johnson,J000288
11 East Main Street,Norwalk,OH,44857,1512,OH,4,Jim Jordan,J000289
3550 Southwest 5th Street,Topeka,KS,66606,1998,KS,2,Lynn Jenkins,J000290
258 Front Street,Marietta,OH,45750,2908,OH,6,Bill Johnson,J000292
10408 Flatlands Avenue ,Brooklyn,NY,11236,2806,NY,8,Hakeem Jeffries,J000294
10075 Ravenna Road,Twinsburg,OH,44087,1718,OH,14,David Joyce,J000295
9210 113th Street,Seminole,FL,33772,2800,FL,13,David Jolly,J000296
205 West 20th Street,Lorain,OH,44052,3777,OH,9,Marcy Kaptur,K000009
205 5th Avenue South,La Crosse,WI,54601,4059,WI,3,Ron Kind,K000188
1003 Park Boulevard,Massapequa Park,NY,11762,2758,NY,2,Peter King,K000210
1 Diamond Causeway,Savannah,GA,31406,7434,GA,1,Jack Kingston,K000220
800 Oneida Street,Storm Lake,IA,50588,3209,IA,4,Steve King,K000362
350 West Burnsville Parkway,Burnsville,MN,55337,2585,MN,2,John Kline,K000363
211 North Florence Street,Casa Grande,AZ,85122,4414,AZ,1,Ann Kirkpatrick,K000368
2 Court St,Plymouth,MA,02360,3347,MA,9,William Keating,K000375
208 East Bayfront Parkway,Erie,PA,16507,2405,PA,3,Mike Kelly,K000376
415 South Mulford Road,Rockford,IL,61108,3011,IL,16,Adam Kinzinger,K000378
29 Crafts Street,Newton,MA,02458,1275,MA,4,Joseph Kennedy,K000379
258 1st Street,Fenton,MI,13502,4636,MI,5,Daniel Kildee,K000380
1019 Pacific Avenue,Tacoma,WA,98402,4486,WA,6,Derek Kilmer,K000381
34 Mechanic Street,Lebanon,NH,01608,2424,NH,2,Ann Kuster,K000382
17926 South Halsted Street,Homewood,IL,60430,2029,IL,2,Robin Kelly,K000385
300 East Locust Street,Des Moines,IA,50309,1825,IA,3,Tom Latham,L000111
27085 Gratiot Avenue,Roseville,MI,48066,2947,MI,9,Sander Levin,L000263
100 Peachtree Street Northwest,Atlanta,GA,30303,1906,GA,5,John Lewis,L000287
635 North 1st Street,San Jose,CA,95112,5110,CA,19,Zoe Lofgren,L000397
222 Mamaroneck Avenue,White Plains,NY,10605,1316,NY,17,Nita Lowey,L000480
10952 Northwest Expressway,Yukon,OK,73099,8214,OK,3,Frank Lucas,L000491
1301 Clay Street,Oakland,CA,94612,5233,CA,13,Barbara Lee,L000551
5914 Main Street,Mays Landing,NJ,08330,1746,NJ,2,Frank LoBiondo,L000554
221 Main Street,Hartford,CT,06106,1890,CT,1,John Larson,L000557
300 Centerville Rd,Warwick,RI,02886,0200,RI,2,James Langevin,L000559
2930 Wetmore Avenue,Everett,WA,98201,4070,WA,2,Rick Larsen,L000560
1250 Hancock Street,Quincy,MA,02169,4331,MA,8,Stephen Lynch,L000562
5309 West 95th Street,Oak Lawn,IL,60453,2444,IL,3,Daniel Lipinski,L000563
1271 Kelly Johnson Boulevard,Colorado Springs,CO,80920,3965,CO,5,Doug Lamborn,L000564
1 2nd Street,Calamus,IA,08861,4517,IA,2,David Loebsack,L000565
100 East Main Cross Street,Findlay,OH,45840,4888,OH,5,Robert Latta,L000566
425 North Avenue East,Westfield,NJ,07090,1537,NJ,7,Leonard Lance,L000567
516 Jefferson Street,Washington,MO,63090,2706,MO,3,Blaine Luetkemeyer,L000569
811 Saint Michaels Drive,Santa Fe,NM,87505,7640,NM,3,Ben Luján,L000570
45 East Loucks Street,Sheridan,WY,82801,6331,WY,0,Cynthia Lummis,L000571
33 East Broadway Avenue,Meridian,ID,83642,2619,ID,1,Raúl Labrador,L000573
1015 North Broadway Avenue,Oklahoma City,OK,73102,5849,OK,5,James Lankford,L000575
5500 Palisades Avenue,Battlefield,MO,07093,2124,MO,7,Billy Long,L000576
280 Hemsted Drive,Redding,CA,96002,0164,CA,1,Doug LaMalfa,L000578
100 West Broadway,Long Beach,CA,90802,4486,CA,47,Alan Lowenthal,L000579
3211 Coors Boulevard Southwest,Albuquerque,NM,87121,5255,NM,1,Michelle Lujan Grisham,L000580
1651 3rd Avenue,New York,NY,10128,3679,NY,12,Carolyn Maloney,M000087
300 Garden City Plaza,Garden City,NY,11530,3338,NY,4,Carolyn McCarthy,M000309
558 Pleasant Street,Northampton,MA,02740,6246,MA,2,James McGovern,M000312
18560 1st Avenue Northeast,Shoreline,WA,98155,2150,WA,7,Jim McDermott,M000404
201 North East Street,Roseboro,NC,92401,1520,NC,7,Mike McIntyre,M000485
26650 The Old Road,Valencia,CA,91381,0750,CA,25,Howard McKeon,M000508
2461 West State Road 426,Oviedo,FL,32765,4508,FL,7,John Mica,M000689
1981 North Broadway,Walnut Creek,CA,94596,3877,CA,11,George Miller,M000725
200 South Courthouse Road,Arlington,VA,29360,1946,VA,8,James Moran,M000933
90-16 Rockaway Beach Boulevard,Queens,NY,11693,1530,NY,5,Gregory Meeks,M001137
1150 Brookside Avenue,Redlands,CA,92373,6314,CA,31,Gary Miller,M001139
240 East Morris Avenue,Salt Lake City,UT,84115,3296,UT,4,Jim Matheson,M001142
6043 Hudson Road,Woodbury,MN,55125,1004,MN,4,Betty McCollum,M001143
4300 Bayou Boulevard,Pensacola,FL,32503,2679,FL,1,Jeff Miller,M001144
6 State Street,Bangor,ME,04401,5112,ME,2,Michael Michaud,M001149
48701 Van Dyke Avenue,Shelby Township,MI,48317,2560,MI,10,Candice Miller,M001150
504 Washington Road,Pittsburgh,PA,15228,2817,PA,18,Tim Murphy,M001151
311 East Marion Street,Shelby,NC,28151,4611,NC,10,Patrick McHenry,M001156
990 Village Square Drive,Tomball,TX,77375,4269,TX,10,Michael McCaul,M001157
9901 Valley Ranch Parkway East,Irving,TX,75063,7186,TX,24,Kenny Marchant,M001158
29 South Palouse Street,Walla Walla,WA,99362,1925,WA,5,Cathy McMorris Rodgers,M001159
219 North Milwaukee Street,Milwaukee,WI,53202,5818,WI,4,Gwen Moore,M001160
600 I Street,Sacramento,CA,95814,4778,CA,6,Doris Matsui,M001163
4100 Empire Drive,Bakersfield,CA,93309,0409,CA,23,Kevin McCarthy,M001165
2222 Grand Canal Boulevard,Stockton,CA,95207,6671,CA,9,Jerry McNerney,M001166
100 South Clinton Street,Syracuse,NY,13261,6100,NY,24,Daniel Maffei,M001171
8700 Auburn Folsom Road,Auburn,CA,95746,8501,CA,4,Tom McClintock,M001177
1000 Commerce Park Drive,Williamsport,PA,17701,5475,PA,10,Tom Marino,M001179
1125 Chapline Street,Wheeling,WV,26003,2976,WV,1,David McKinley,M001180
107 Old Airport Road,Douglassville,PA,30474,8840,PA,7,Patrick Meehan,M001181
1456 Ebenezer Road,Rock Hill,SC,29732,2339,SC,5,Mick Mulvaney,M001182
400 North Main Street,Williamstown,KY,41097,1026,KY,4,Thomas Massie,M001184
16 James Street,Middletown,NY,10940,5787,NY,18,Sean Maloney,M001185
125 Bonnie Lane,Sylva,NC,28779,8552,NC,11,Mark Meadows,M001187
80-02 Kew Gardens Road,Queens,NY,11415,3605,NY,6,Grace Meng,M001188
107 West Charles Street,Muncie,IN,47305,2804,IN,6,Luke Messer,M001189
431 West Broadway Street,Muskogee,OK,74401,6614,OK,2,Markwayne Mullin,M001190
171 Southwest Flagler Avenue,Stuart,FL,34994,2139,FL,18,Patrick Murphy,M001191
1900 Stubbs Avenue,Monroe,LA,71201,5751,LA,5,Vance McAllister,M001192
201 Varick Street,New York,NY,10014,7069,NY,10,Jerrold Nadler,N000002
300 State Street,Springfield,MA,01105,1686,MA,1,Richard Neal,N000015
6448 Main Street,North Branch,MN,55056,7068,MN,8,Richard Nolan,N000127
"90 K Street, NE",Washington,DC,20001,4203,DC,0,Eleanor Norton,N000147
510 East Foothill Boulevard,San Dimas,CA,91773,1254,CA,32,Grace Napolitano,N000179
113 North Church Street,Visalia,CA,93291,6300,CA,22,Devin Nunes,N000181
611 University Avenue,Lubbock,TX,79401,2206,TX,19,Randy Neugebauer,N000182
505 12th Street Southeast,Watertown,SD,57201,4973,SD,0,Kristi Noem,N000184
115 Southeast 25th Avenue,Ocala,FL,34471,9179,FL,11,Richard Nugent,N000185
337 East Main Street,Tupelo,MS,38804,4025,MS,1,Alan Nunnelee,N000186
4959 Palo Verde Street,Montclair,CA,91763,2331,CA,35,Gloria Negrete McLeod,N000187
1650 Highway 6,Sugar Land,TX,77478,4921,TX,22,Pete Olson,O000168
120 Washington Street,Watertown,NY,13601,3370,NY,21,William Owens,O000169
310 North Mesa Street,El Paso,TX,79901,1301,TX,16,Beto O'Rourke,O000170
69 Church St,New Brunswick,NJ,08901,1242,NJ,6,Frank Pallone,P000034
200 Federal Plaza,Paterson,NJ,07505,1953,NJ,9,Bill Pascrell,P000096
411 North Central Avenue,Phoenix,AZ,85004,2120,AZ,7,Ed Pastor,P000099
49 Leavenworth Street,San Francisco,CA,06702,2115,CA,12,Nancy Pelosi,P000197
320 4th Street Southwest,Willmar,MN,56201,3300,MN,7,Collin Peterson,P000258
2390 Highway 44,Oshkosh,WI,54904,6438,WI,6,Thomas Petri,P000265
PO Box 837 ,Unionville,PA,19375,0837,PA,16,Joseph Pitts,P000373
5400 Trinity Road,Raleigh,NC,27607,3815,NC,4,David Price,P000523
1717 West 2nd Street,Roswell,NM,88201,2029,NM,2,Stevan Pearce,P000588
3730 Roswell Road,Marietta,GA,30062,8818,GA,6,Tom Price,P000591
1801 Kingwood Drive,Humble,TX,77339,3058,TX,2,Ted Poe,P000592
1200 East 78th Avenue,Denver,CO,80229,5930,CO,7,Ed Perlmutter,P000593
250 Prairie Center Drive,Eden Prairie,MN,55344,7904,MN,3,Erik Paulsen,P000594
400 Monroe Street,Detroit,MI,48226,2944,MI,14,Gary Peters,P000595
Urb Las Gladiolas,San Juan,PR,00926,3232,PR,0,Pedro Pierluisi,P000596
2 Portland Fish Pier,Portland,ME,04101,4633,ME,1,Chellie Pingree,P000597
123 North College Avenue,Fort Collins,CO,80524,2489,CO,2,Jared Polis,P000598
2725 Judge Fran Jamieson Way,Melbourne,FL,32940,6605,FL,8,Bill Posey,P000599
701 Main Street,Hattiesburg,MS,39401,3478,MS,4,Steven Palazzo,P000601
155 North Market Street,Wichita,KS,67202,1818,KS,4,Mike Pompeo,P000602
13 Municipal Plaza,Bloomfield,NJ,07003,3470,NJ,10,Donald Payne,P000604
2209 East Market Street,East York,PA,17402,2853,PA,4,Scott Perry,P000605
6525 Morrison Boulevard,Charlotte,NC,28211,0501,NC,9,Robert Pittenger,P000606
10 East Doty Street,Madison,WI,53703,5103,WI,2,Mark Pocan,P000607
4350 Executive Drive,San Diego,CA,92121,2115,CA,52,Scott Peters,P000608
1057 West Belmont Avenue,Chicago,IL,60657,3327,IL,5,Mike Quigley,Q000023
220 Dingess Street,Logan,WV,25601,3626,WV,3,Nick Rahall,R000011
163 West 125th Street,New York,NY,10027,4404,NY,13,Charles Rangel,R000053
Clifty Street,Somerset,KY,42501,1782,KY,5,Harold Rogers,R000395
610 Newport Center Drive,Newport Beach,CA,92660,8034,CA,48,Dana Rohrabacher,R000409
4960 Southwest 72nd Avenue,Miami,FL,33155,5544,FL,27,Ileana Ros-Lehtinen,R000435
4716 East Cesar E Chavez Avenue,East Los Angeles,CA,90022,1210,CA,40,Lucille Roybal-Allard,R000486
