5555 Hilton Avenue,Temple City,CA,70808,2597,CA,27,Judy Chu,C001080
,Baxley,GA,31515,40,GA,12,John Barrow,B001252
916 Washington Avenue,Bay City,MI,48708,5721,MI,5,Daniel Kildee,K000380
630 Avenue C,Bayonne,NJ,7002,3878,NJ,8,Albio Sires,S001165
218-14 Northern Boulevard,New York,NY,11361,3505,NY,6,Grace Meng,M001188
909 Decker Drive,Baytown,TX,77520,4433,TX,36,Steve Stockman,S000937
,Beaufort,SC,29901,1538,SC,1,Marshall Sanford,S000051
505 Orleans Street,Beaumont,TX,77701,3224,TX,14,Randy Weber,W000814
109 Main Street,Beckley,WV,25801,4610,WV,3,Nick Rahall,R000011
107 S Street Marys Street,Beeville,TX,78102,5619,TX,34,Filemon Vela,V000132
15 East Churchville Road,Bel Air,MD,21014,3837,MD,1,Andy Harris,H001052
3555 Benner Pike,Bellefonte,PA,16823,8474,PA,5,Glenn Thompson,T000467
144 Lincoln Place Court,Belleville,IL,62221,5884,IL,12,William Enyart,E000292
119 North Commercial Street,Bellingham,WA,98225,4452,WA,2,Rick Larsen,L000560
400 East Grand Avenue,Beloit,WI,53511,6229,WI,2,Mark Pocan,P000607
1051 Northwest Bond Street,Bend,OR,97701,2958,OR,2,Greg Walden,W000791
701 West Broad Street,Bethlehem,PA,18018,5229,PA,15,Charles Dent,D000604
1510 Scurry Street,Big Spring,TX,79720,4441,TX,19,Randy Neugebauer,N000182
1201 Grand Avenue,Billings,MT,59102,4281,MT,0,Steve Daines,D000618
15 Henry Street,Binghamton,NY,13901,2724,NY,22,Richard Hanna,H001051
2 20th Street North,Birmingham,AL,35203,4014,AL,7,Terri Sewell,S001185
1900 International Park Drive,Birmingham,AL,35243,4217,AL,6,Spencer Bachus,B000013
200 East Rosser Avenue,Bismarck,ND,58501,,ND,0,Kevin Cramer,C001096
13 Municipal Plaza,Bloomfield,NJ,7003,3470,NJ,10,Donald Payne,P000604
150 South Bloomingdale Road,Bloomingdale,IL,60108,1494,IL,8,Tammy Duckworth,D000622
202 North Prospect Road,Bloomington,IL,61704,7920,IL,18,Aaron Schock,S001179
320 West 8th Street,Bloomington,IN,47404,3700,IN,9,Todd Young,Y000064
601 Federal Street,Bluefield,WV,24701,3033,WV,3,Nick Rahall,R000011
2500 North Military Trail,West Palm Beach,FL,33409,6344,FL,20,Alcee Hastings,H000324
802 West Bannock Street,Boise,ID,83702,5843,ID,2,Michael Simpson,S001148
310 Government Center Drive Northeast,Bolivia,NC,28422,9010,NC,7,Mike McIntyre,M000485
107 Madison Street,Bolton,MS,39041,3208,MS,2,Bennie Thompson,T000193
240 North Carolina 105 Extension,Boone,NC,28607,4291,NC,5,Virginia Foxx,F000450
700 Benton Road,Bossier City,LA,71111,3705,LA,4,John Fleming,F000456
88 Black Falcon Avenue,Boston,MA,2210,2433,MA,8,Stephen Lynch,L000562
4770 Baseline Road,Boulder,CO,80303,2668,CO,2,Jared Polis,P000598
1001 Center Street,Bowling Green,KY,42101,2192,KY,2,Brett Guthrie,G000558
1045 North Main Street,Bowling Green,OH,43402,1361,OH,5,Robert Latta,L000566
2424 Manatee Avenue West,Bradenton,FL,34205,4954,FL,16,Vern Buchanan,B001260
1800 East Lambert Road,Brea,CA,92821,4396,CA,39,Edward Royce,R000487
345 6th Street,Bremerton,WA,98337,1870,WA,6,Derek Kilmer,K000381
2000 South Market Street,Brenham,TX,77833,5800,TX,10,Michael McCaul,M001157
211 State Road 2 Bus,Newark,DE,6604,4808,DE,0,John Carney,C001083
6 North Main Street,Brigham City,UT,84302,2116,UT,1,Rob Bishop,B001250
2301 West Roosevelt Road,Broadview,IL,60155,3854,IL,7,Danny Davis,D000096
155 West Elm Street,Hillsboro,TX,2301,4326,TX,25,Roger Williams,W000816
3655 Johnson Avenue,Bronx,NY,10463,1671,NY,16,Eliot Engel,E000179
2800 Bruckner Boulevard,Bronx,NY,10465,1972,NY,14,Joseph Crowley,C001038
1231 Lafayette Avenue,Bronx,NY,10474,5331,NY,15,José Serrano,S000248
177 Dreiser Loop,Bronx,NY,10475,2705,NY,16,Eliot Engel,E000179
120 Bishops Way,Brookfield,WI,53005,6294,WI,5,F. Sensenbrenner,S000244
230 South Whitworth Avenue,Brookhaven,MS,39601,3343,MS,3,Gregg Harper,H001045
186 Joralemon Street,Brooklyn,NY,11201,4326,NY,7,Nydia Velázquez,V000081
266 Broadway,Brooklyn,NY,11211,6125,NY,7,Nydia Velázquez,V000081
445 Neptune Avenue,Brooklyn,NY,11224,4561,NY,8,Hakeem Jeffries,J000294
123 Linden Boulevard,Brooklyn,NY,11226,3888,NY,9,Yvette Clarke,C001067
7308 13th Avenue,Brooklyn,NY,11228,2011,NY,11,Michael Grimm,G000569
1800 Sheepshead Bay Road,Brooklyn,NY,11235,2719,NY,8,Hakeem Jeffries,J000294
,Brooklyn,NY,11236,2806,NY,8,Hakeem Jeffries,J000294
16 Court Street,Brooklyn,NY,11241,1010,NY,7,Nydia Velázquez,V000081
16224 Spring Hill Drive,Brooksville,FL,34604,8326,FL,11,Richard Nugent,N000185
1805 East Ruben M Torres Sr Boulevard,Brownsville,TX,78521,1115,TX,34,Filemon Vela,V000132
501 Center Avenue,Brownwood,TX,76801,2809,TX,11,K. Conaway,C001062
805 Gloucester Street,Brunswick,GA,31520,7073,GA,1,Jack Kingston,K000220
4001 East 29th Street,Bryan,TX,77802,4211,TX,17,Bill Flores,F000461
811 Main Street,Buckley,WA,98321,8259,WA,10,Denny Heck,H001064
415 East Main Street,Buena Vista,CO,81211,8106,CO,5,Doug Lamborn,L000564
465 Main Street,Buffalo,NY,14203,1717,NY,26,Brian Higgins,H001038
726 Exchange Street,Buffalo,NY,14210,1484,NY,26,Brian Higgins,H001038
30 Main Street,Laois,Laois,5401,8438,not found,not found,,
101 West Burnsville Parkway,Burnsville,MN,55337,2572,MN,2,John Kline,K000363
108 East Diamond Street,Butler,PA,16001,5947,PA,3,Mike Kelly,K000376
112 South 1st Street,Cabot,AR,72023,3007,AR,1,Eric Crawford,C001087
210 North Mitchell Street,Cadillac,MI,49601,1835,MI,4,Dave Camp,C000071
1115 Albany Street,Caldwell,ID,83605,3522,ID,1,Raúl Labrador,L000573
5051 Verdugo Way,Camarillo,CA,93012,8690,CA,26,Julia Brownley,B001285
110 1st Street,Milan,IL,2141,2109,IL,17,Cheri Bustos,B001286
1999 South Bascom Avenue,Campbell,CA,95008,2200,CA,18,Anna Eshoo,E000215
100 North Street,Canton,GA,30114,2779,GA,11,Phil Gingrey,G000550
4150 Belden Village Street Northwest,Canton,OH,44718,2553,OH,16,James Renacci,R000586
804 Nicholas Parkway East,Cape Coral,FL,33990,2811,FL,19,,
555 Independence Street,Cape Girardeau,MO,63703,6235,MO,8,Jason Smith,S001195
250 West Cherry Street,Carbondale,IL,62901,2856,IL,12,William Enyart,E000292
59 West Louther Street,Carlisle,PA,17013,2936,PA,11,Lou Barletta,B001269
47 Gleneida Avenue,Carmel,NY,10512,,NY,18,Sean Maloney,M001185
100 2nd Street,Lindsay,TX,7008,3065,TX,13,Mac Thornberry,T000238
211 North Florence Street,Casa Grande,AZ,85122,4414,AZ,1,Ann Kirkpatrick,K000368
100 East B Street,McCook,NE,82602,1969,NE,3,Adrian Smith,S001172
754 Frederick Road,Catonsville,MD,21228,4504,MD,7,Elijah Cummings,C000984
150 1st Avenue Northeast,Cedar Rapids,IA,52401,1133,IA,1,Bruce Braley,B001259
221 East Broadway,Centralia,IL,62801,3250,IL,15,John Shimkus,S000364
17906 Crusader Avenue,Cerritos,CA,90703,2694,CA,38,Linda Sánchez,S001156
100 Lincoln Way East,Chambersburg,PA,17201,2274,PA,9,Bill Shuster,S001154
2004 Fox Drive,Champaign,IL,61820,7336,IL,13,Rodney Davis,D000619
88 Vilcom Center Drive,Chapel Hill,NC,27514,1665,NC,4,David Price,P000523
655 West Lincoln Avenue,Charleston,IL,61920,2426,IL,15,John Shimkus,S000364
2000 Sam Rittenberg Boulevard,Charleston,SC,29407,4631,SC,1,Marshall Sanford,S000051
4815 Maccorkle Avenue Southeast,Charleston,WV,25304,1948,WV,2,Shelley Capito,C001047
1230 West Morehead Street,Charlotte,NC,28208,5214,NC,12,,
6525 Morrison Boulevard,Charlotte,NC,28211,501,NC,9,Robert Pittenger,P000606
686 Berkmar Circle,Charlottesville,VA,22901,1464,VA,5,Robert Hurt,H001060
900 Georgia Avenue,Chattanooga,TN,37402,2282,TN,3,Charles Fleischmann,F000459
505 Independence Parkway,Chesapeake,VA,23320,5178,VA,4,J. Forbes,F000445
1330 Swanwick Street,Chester,IL,62233,1314,IL,12,William Enyart,E000292
100 Old Mill Lane,Point,TX,21619,2140,TX,4,Ralph Hall,H000067
511 1st Street,Evansville,IL,19013,4453,IL,12,William Enyart,E000292
9401 Courthouse Road,Chesterfield,VA,23832,6685,VA,4,J. Forbes,F000445
2120 Capitol Avenue,Cheyenne,WY,82001,3631,WY,0,Cynthia Lummis,L000571
3742 West Irving Park Road,Chicago,IL,60618,3116,IL,5,Mike Quigley,Q000023
706 East 79th Street,Chicago,IL,60619,3036,IL,1,Bobby Rush,R000515
3333 West Arthington Street,Chicago,IL,60624,4102,IL,7,Danny Davis,D000096
6245 South Archer Avenue,Chicago,IL,60638,2609,IL,3,Daniel Lipinski,L000563
5533 North Broadway Street,Chicago,IL,60640,1405,IL,9,Janice Schakowsky,S001145
2201 West North Avenue,Chicago,IL,60647,5429,IL,5,Mike Quigley,Q000023
7121 South Yates Boulevard,Chicago,IL,60649,2529,IL,2,Robin Kelly,K000385
1057 West Belmont Avenue,Chicago,IL,60657,3327,IL,5,Mike Quigley,Q000023
2635 Forest Avenue,Chico,CA,95928,4425,CA,1,Doug LaMalfa,L000578
333 F Street,Chula Vista,CA,91910,2624,CA,51,Juan Vargas,V000130
441 Vine Street,Cincinnati,OH,45202,3003,OH,1,Steve Chabot,C000266
8044 Montgomery Road,Cincinnati,OH,45236,2926,OH,2,Brad Wenstrup,W000815
,Clanton,AL,35046,502,AL,6,Spencer Bachus,B000013
309 West 1st Street,Claremore,OK,74017,8005,OK,2,Markwayne Mullin,M001190
1850 Memorial Drive,Clarksville,TN,37043,4603,TN,7,Marsha Blackburn,B001243
,Clear Lake,IA,50428,532,IA,4,Steve King,K000362
115 South Main Street,Cleburne,TX,76033,5501,TX,25,Roger Williams,W000816
6000 Meadowbrook Mall Court,Clemmons,NC,27012,8775,NC,5,Virginia Foxx,F000450
264 Clovis Avenue,Clovis,CA,93612,1115,CA,22,Devin Nunes,N000181
1250 West Ironwood Drive,Coeur d'Alene,ID,83814,2723,ID,1,Raúl Labrador,L000573
240 Regency Centre,Collinsville,IL,62234,3019,IL,13,Rodney Davis,D000619
1271 Kelly Johnson Boulevard,Colorado Springs,CO,80920,3965,CO,5,Doug Lamborn,L000564
3609 South Providence Road,Columbia,MO,65201,3721,MO,4,Vicky Hartzler,H001053
1225 Lady Street,Columbia,SC,29201,3347,SC,6,James Clyburn,C000537
807 South Garden Street,Columbia,TN,38401,3262,TN,4,Scott DesJarlais,D000616
18 9th Street,Columbus,GA,31901,2778,GA,2,Sanford Bishop,B000490
1299 Olentangy River Road,Columbus,OH,43212,3129,OH,15,Steve Stivers,S001187
3000 Corporate Exchange Drive,Columbus,OH,43231,4054,OH,3,Joyce Beatty,B001281
555 South Main Street,Colville,WA,99114,2503,WA,5,Cathy McMorris Rodgers,M001159
1333 Willow Pass Road,Concord,CA,94520,7931,CA,11,George Miller,M000725
325 McGill Avenue Northwest,Concord,NC,28027,6194,NC,8,Richard Hudson,H001067
114 Main Street,Burlington,VT,3301,4962,VT,0,Peter Welch,W000800
200 River Pointe Drive,Conroe,TX,77304,2817,TX,8,Kevin Brady,B000755
,Coos Bay,OR,97420,333,OR,4,Peter DeFazio,D000191
3680 Route 112,Coram,NY,11727,4140,NY,1,Timothy Bishop,B001242
1350 5th Avenue,Coraopolis,PA,15108,2024,PA,14,Michael Doyle,D000482
89 West Market Street,Corning,NY,14830,2526,NY,23,Tom Reed,R000585
1718 South Alameda Street,Corpus Christi,TX,78404,2931,TX,27,Blake Farenthold,F000460
18 Tompkins Street,Cortland,NY,13045,2541,NY,22,Richard Hanna,H001051
40 Pearl Street,Council Bluffs,IA,51503,817,IA,3,Tom Latham,L000111
,Creston,IA,50801,601,IA,3,Tom Latham,L000111
303 North 6th Street,Crockett,TX,75835,1611,TX,8,Kevin Brady,B000755
62 East 2nd Street,Crossville,TN,38555,4564,TN,6,Diane Black,B001273
517 Bailey Road,Crystal City,MO,63019,1701,MO,3,Blaine Luetkemeyer,L000569
101 North Virginia Street,Crystal Lake,IL,60014,3456,IL,14,Randy Hultgren,H001059
205 4th Avenue Northeast,Cullman,AL,35055,1965,AL,4,Robert Aderholt,A000055
763 Madison Road,Culpeper,VA,22701,3342,VA,7,Eric Cantor,C001046
1 Frederick Street,Cumberland,MD,21502,2309,MD,6,John Delaney,D000620
3102 Maple Avenue,Dallas,TX,75201,1236,TX,30,Eddie Johnson,J000126
6510 Abrams Road,Dallas,TX,75231,7278,TX,5,Jeb Hensarling,H001036
12750 Merit Drive,Dallas,TX,75251,1229,TX,32,Pete Sessions,S000250
702 North Glenwood Avenue,Dalton,GA,30721,2624,GA,14,Tom Graves,G000560
198 Main Street,Buffalo,NY,6810,6662,NY,26,Brian Higgins,H001038
308 Craghead Street,Danville,VA,24541,1468,VA,5,Robert Hurt,H001060
209 West 4th Street,Davenport,IA,52801,1307,IA,2,David Loebsack,L000565
120 West 3rd Street,Dayton,OH,45402,1819,OH,10,Michael Turner,T000463
19855 Outer Drive,Dearborn,MI,48124,2028,MI,12,John Dingell,D000355
302 Lee Street Northeast,Decatur,AL,35601,1926,AL,5,Mo Brooks,B001274
,Decatur,AL,35602,668,AL,5,Mo Brooks,B001274
101 Clinton Street,Defiance,OH,43512,2165,OH,5,Robert Latta,L000566
309 Mills Street,Black Earth,WI,78840,5165,WI,2,Mark Pocan,P000607
840 Deltona Boulevard,Deltona,FL,32725,7162,FL,7,John Mica,M000689
186 Field of Dreams Drive,Cornelia,GA,36732,,GA,9,Doug Collins,C001093
600 Grant Street,Denver,CO,80203,3525,CO,1,Diana DeGette,D000197
Main Street,Mayfair,SK,6418,1931,not found,not found,,
300 East Locust Street,Des Moines,IA,50309,1825,IA,3,Tom Latham,L000111
714 Lake Avenue,Detroit Lakes,MN,56501,3057,MN,7,Collin Peterson,P000258
231 West Lafayette Boulevard,Detroit,MI,48226,2766,MI,14,Gary Peters,P000595
400 Monroe Street,Detroit,MI,48226,2944,MI,14,Gary Peters,P000595
119 West 1st Street,Dixon,IL,61021,3056,IL,16,Adam Kinzinger,K000378
100 Military Street,Dodge City,KS,67801,4945,KS,1,Tim Huelskamp,H001057
8669 Northwest 36th Street,Doral,FL,33166,6640,FL,25,Mario Diaz-Balart,D000600
188 North Foster Street,Dothan,AL,36303,4568,AL,2,Martha Roby,R000591
350 West 6th Street,Dubuque,IA,52001,4648,IA,1,Bruce Braley,B001259
112 North 12th Avenue,Durant,OK,74701,4718,OK,2,Markwayne Mullin,M001190
411 9 Gates Road,Chapel Hill,NC,27701,3616,NC,4,David Price,P000523
100 South Monroe Street,Eagle Pass,TX,78852,4830,TX,23,Pete Gallego,G000572
206 Main Street,East Greenville,PA,18041,1405,PA,6,Jim Gerlach,G000549
8787 State Street,East St. Louis,IL,62203,2026,IL,12,William Enyart,E000292
131 South Barstow Street,Eau Claire,WI,54701,2625,WI,3,Ron Kind,K000188
250 Prairie Center Drive,Eden Prairie,MN,55344,7904,MN,3,Erik Paulsen,P000594
2864 West Trenton Road,Edinburg,TX,78539,9232,TX,15,Rubén Hinojosa,H000636
1870 Cordell Court,El Cajon,CA,92020,916,CA,53,Susan Davis,D000598
101 North Washington Avenue,El Dorado,AR,71730,5669,AR,4,Tom Cotton,C001095
4401 Santa Anita Avenue,El Monte,CA,91731,1611,CA,32,Grace Napolitano,N000179
310 North Mesa Street,El Paso,TX,79901,1301,TX,16,Beto O'Rourke,O000170
333 North Broad Street,Philadelphia,PA,7208,3706,PA,1,Robert Brady,B001227
405 Idaho Street,Elko,NV,89801,3753,NV,2,Mark Amodei,A000369
8267 Main Street,Ellicott City,MD,21043,9903,MD,7,Elijah Cummings,C000984
425 South Main Street,Emporia,VA,23847,2300,VA,4,J. Forbes,F000445
77 Hazard Avenue,Enfield,CT,6082,3890,CT,2,Joe Courtney,C001069
2106 West Ennis Avenue,Ennis,TX,75119,3624,TX,6,Joe Barton,B000213
208 East Bayfront Parkway,Erie,PA,16507,2405,PA,3,Mike Kelly,K000376
405 East 8th Avenue,Eugene,OR,97401,2716,OR,4,Peter DeFazio,D000191
317 3rd Street,Eureka,CA,95501,487,CA,2,Jared Huffman,H001068
4246 Washington Road,Evans,GA,30809,3087,GA,12,John Barrow,B001252
820 Davis Street,Evanston,IL,60201,4400,IL,9,Janice Schakowsky,S001145
101 Northwest Martin Luther King Junior Boulevard,Evansville,IN,47708,1951,IN,8,Larry Bucshon,B001275
2930 Wetmore Avenue,Everett,WA,98201,4070,WA,2,Rick Larsen,L000560
111 East Uwchlan Avenue,Exton,PA,19341,1206,PA,6,Jim Gerlach,G000549
101 12th Avenue,Fairbanks,AK,99701,6275,AK,0,Don Young,Y000033
201,Lopes,Maputo,94533,5556,not found,not found,,
371 Main Street,Burlington,VT,2721,5304,VT,0,Peter Welch,W000800
1931 Mott Avenue,Queens,NY,11691,4103,NY,5,Gregory Meeks,M001137
3003 32nd Avenue South,Fargo,ND,58103,6163,ND,0,Kevin Cramer,C001096
22 East Columbia Street,Farmington,MO,63640,3101,MO,8,Jason Smith,S001195
800 Municipal Drive,Farmington,NM,87401,2663,NM,3,Ben Luján,L000570
301 Green Street,Fayetteville,NC,28301,5048,NC,4,David Price,P000523
6257 Raeford Road,Fayetteville,NC,28304,2450,NC,4,David Price,P000523
100 East Main Cross Street,Findlay,OH,45840,4888,OH,5,Robert Latta,L000566
2 Summit Court,Fishkill,NY,12524,,NY,18,Sean Maloney,M001185
463 Main Street,Buffalo,NY,1420,8045,NY,26,Brian Higgins,H001038
15115 Cedar Avenue,Apple Valley,MN,86004,,MN,2,John Kline,K000363
23 Royal Road,Lebanon,PA,8822,6001,PA,15,Charles Dent,D000604
432 North Saginaw Street,Flint,MI,48502,2018,MI,5,Daniel Kildee,K000380
181 East Evans Street,Florence,SC,29506,2511,SC,7,Tom Rice,R000597
1302 N McKenzie St,Foley,AL,36535,2232,AL,1,Bradley Byrne,B001289
490 West Rolling Meadows Drive,Fond du Lac,WI,54937,8609,WI,6,Thomas Petri,P000265
1426 Central Avenue,Fort Dodge,IA,50501,4258,IA,4,Steve King,K000362
6300 Northeast 1st Avenue,Fort Lauderdale,FL,33301,1941,FL,22,Lois Frankel,F000462
2701 West Oakland Park Boulevard,Fort Lauderdale,FL,33311,1363,FL,20,Alcee Hastings,H000324
300 Buttermilk Pike,Fort Mitchell,KY,41017,2136,KY,4,Thomas Massie,M001184
2300 Virginia Avenue,Fort Pierce,FL,34982,5632,FL,18,Patrick Murphy,M001191
423 North 6th Street,Fort Smith,AR,72902,2003,AR,3,Steve Womack,W000809
103 West Callaghan Street,Fort Stockton,TX,79735,7104,TX,23,Pete Gallego,G000572
348 Miracle Strip Parkway Southwest,Fort Walton Beach,FL,32548,5263,FL,1,Jeff Miller,M001144
1300 Harrison Street,Fort Wayne,IN,46802,3446,IN,3,Marlin Stutzman,S001188
1701 River Run Drive,Marysville,CA,76107,6548,CA,3,John Garamendi,G000559
1100 Circle Drive,Fort Worth,TX,76119,8111,TX,33,Marc Veasey,V000131
50 East Grand Avenue,Fox Lake,IL,60073,1430,IL,10,Bradley Schneider,S001190
188 Concord Street,Bennington,NH,1702,8315,NH,2,Ann Kuster,K000382
198 3rd Avenue South,Franklin,TN,37064,2518,TN,7,Marsha Blackburn,B001243
7360 Guilford Drive,Frederick,MD,21704,5128,MD,6,John Delaney,D000620
3504 Plank Road,Fredericksburg,VA,22407,6896,VA,1,Robert Wittman,W000804
39300 Civic Center Drive,Fremont,CA,94538,2324,CA,17,Michael Honda,H001034
,Fremont,NE,68026,377,NE,1,Jeff Fortenberry,F000449
1040 East Herndon Avenue,Fresno,CA,93720,3158,CA,22,Devin Nunes,N000181
855 M Street,Fresno,CA,93721,2757,CA,16,Jim Costa,C001059
,Frisco,CO,80443,1453,CO,2,Jared Polis,P000598
,Fort Bragg,CA,95437,2208,CA,2,Jared Huffman,H001068
123 North College Avenue,Fort Collins,CO,80524,2489,CO,2,Jared Polis,P000598
600 Broad Street,Gadsden,AL,35901,3745,AL,4,Robert Aderholt,A000055
5700 Southwest 34th Street,Gainesville,FL,32608,5329,FL,3,Ted Yoho,Y000065
,Gainesville,GA,30503,,GA,9,Doug Collins,C001093
110 West Aztec Avenue,Gallup,NM,87301,6202,NM,3,Ben Luján,L000570
601 25th Street,Galveston,TX,77550,1738,TX,14,Randy Weber,W000814
300 Garden City Plaza,Garden City,NY,11530,3338,NY,4,Carolyn McCarthy,M000309
12397 South Lewis Street,Garden Grove,CA,92840,4695,CA,46,Loretta Sanchez,S000030
197 West Main Avenue,Gastonia,NC,28052,4154,NC,10,Patrick McHenry,M001156
810 Otsego Avenue,Coshocton,OH,49770,1780,OH,7,Bob Gibbs,G000563
100 West Main Street,Geneseo,IL,61254,,IL,17,Cheri Bustos,B001286
1797 West State Street,Geneva,IL,60134,4710,IL,14,Randy Hultgren,H001059
22 Chambersburg Street,Gettysburg,PA,17325,1101,PA,4,Scott Perry,P000605
4201 Dominion Boulevard,Glen Allen,VA,23060,6149,VA,7,Eric Cantor,C001046
266 Harristown Road,Glen Rock,NJ,7452,3321,NJ,5,Scott Garrett,G000548
7121 West Bell Road,Glendale,AZ,85308,8549,AZ,8,Trent Franks,F000448
136 Glen Street,Glens Falls,NY,12801,4415,NY,21,William Owens,O000169
2339 Gold Meadow Way,Gold River,CA,95670,6307,CA,7,Ami Bera,B001287
320 North Chicago Avenue,Goshen,IN,46528,2331,IN,2,Jackie Walorski,W000813
225 Main Street,Goshen,NY,10924,2195,NY,18,Sean Maloney,M001185
,Graham,NC,27253,812,NC,6,Howard Coble,C000556
1811 West 2nd Street,Grand Island,NE,68803,5400,NE,3,Adrian Smith,S001172
225 North 5th Street,Grand Junction,CO,81501,2658,CO,3,Scott Tipton,T000470
110 Michigan Street Northeast,Grand Rapids,MI,49503,2313,MI,3,Justin Amash,A000367
8700 Auburn Folsom Road,Auburn,CA,95746,8501,CA,4,Tom McClintock,M001177
2060 Delmar Avenue,Granite City,IL,62040,4625,IL,12,William Enyart,E000292
,Granite Quarry,NC,28072,807,NC,8,Richard Hudson,H001067
105 Smelter Avenue Northeast,Great Falls,MT,59404,1953,MT,0,Steve Daines,D000618
822 7th Street,Greeley,CO,80631,3933,CO,4,Cory Gardner,G000562
6500 Cherrywood Lane,Greenbelt,MD,20770,1287,MD,5,Steny Hoyer,H000874
125 South Elm Street,Greensboro,NC,27401,2246,NC,6,Howard Coble,C000556
301 South Green Street,Henderson,KY,27401,2615,KY,1,Ed Whitfield,W000413
2102 North Elm Street,Greensboro,NC,27408,5100,NC,6,Howard Coble,C000556
Frederickson Place,Greensburg,PA,15601,9688,PA,18,Tim Murphy,M001151
910 Courthouse Alley,Greenville,MS,38701,3764,MS,2,Bennie Thompson,T000193
1105 Corporate Drive,Greenville,NC,27858,4211,NC,3,Walter Jones,J000255
