District,Title,AddressLine2,AddressLine1,AddressLine3,AddressLine4,Telephone,Fax,LastName,
IA04,US Representative,US House of Representatives,The Honorable Tom Latham,1421 South Bell Avenue Suite 108A,"Ames, IA 50010-7710",(515) 232-2885,(515) 232-2884,Latham,50010-7710
NY21,US Representative,US House of Representatives,The Honorable Paul D. Tonko,61 Church Street Room 309,"Amsterdam, NY 12010-4424",(518) 843-3400,(518) 843-8874,Tonko,12010-4424
AK01,US Representative,US House of Representatives,The Honorable Don Young,510 L Street Suite 580,"Anchorage, AK 99501-1959",(907) 271-5978,(907) 271-5950,Young,99501-1959
AL02,US Representative,US House of Representatives,The Honorable Martha Roby,505 East Three Notch Street Room 322,"Andalusia, AL 63420-3129",(334) 428-1129,(334) 222-3342,Roby,63420-3129
IN06,US Representative,US House of Representatives,The Honorable Mike Pence,1134 Meridian Plaza ,"Anderson, IN 46016-1713",(765) 640-2919,(765) 640-2922,Pence,46016-1713
SC03,US Representative,US House of Representatives,The Honorable Jeff Duncan,303 West Beltline Boulevard ,"Anderson, SC 29625-1505",(864) 224-7401,(864) 225-7049,Duncan,29625-1505
VA11,US Representative,US House of Representatives,The Honorable Gerald E. Connolly,4115 Annandale Road Suite 103,"Annandale, VA 22003-2500",(703) 256-3071,(703) 354-1284,Connolly,22003-2500
MD03,US Representative,US House of Representatives,The Honorable John P. Sarbanes,44 Calvert Street Suite 349,"Annapolis, MD 21401-1930",(410) 295-1679,(410) 295-1682,Sarbanes,21401-1930
AL03,US Representative,US House of Representatives,The Honorable Mike D. Rogers,1129 Noble Street Suite 104,"Anniston, AL 36201-4674",(256) 236-5655,(256) 237-9203,Rogers,36201-4674
CA10,US Representative,US House of Representatives,The Honorable John Garamendi,420 West 3rd Street ,"Antioch, CA 94509-1274",(925) 757-7187,(925) 757-7056,Garamendi,94509-1274
WI08,US Representative,US House of Representatives,The Honorable Reid J. Ribble,333 West College Avenue ,"Appleton, WI 54911-5898",(920) 380-0061,(920) 380-0051,Ribble,54911-5898
TX06,US Representative,US House of Representatives,The Honorable Joe Barton,6001 West Ronald Reagan Memorial Highway Suite 200,"Arlington, TX 76017",(817) 543-1000,(817) 548-7029,Barton,76017
NC06,US Representative,US House of Representatives,The Honorable Howard Coble,222 Sunset Avenue Suite 101,"Asheboro, NC 27203-5658",(336) 626-3060,(336) 629-7819,Coble,27203-5658
KY04,US Representative,US House of Representatives,The Honorable Geoff Davis,1405 Greenup Avenue Suite 236,"Ashland, KY 41101-7573",(606) 324-9898,(606) 325-9866,Davis,41101-7573
NC11,US Representative,US House of Representatives,The Honorable Heath Shuler,205 College Street Suite 100,"Ashville, NC 28801-3017",(828) 252-1651,(828) 252-8734,Shuler,28801-3017
NY14,US Representative,US House of Representatives,The Honorable Carolyn B. Maloney,28-11 Astoria Boulevard ,"Astoria, NY 11102-1933",(718) 932-1804,(718) 932-1805,Maloney,11102-1933
CA22,US Representative,US House of Representatives,The Honorable Kevin McCarthy,5805 Capistrono Avenue Suite C,"Atascadero, CA 93422-7218",(805) 461-1034,(805) 461-1323,McCarthy,93422-7218
GA10,US Representative,US House of Representatives,The Honorable Paul Broun,3706 Atlanta Highway Suite 3B,"Athens, GA 30606-7202",(706) 549-9588,,Broun,30606-7202
TN02,US Representative,US House of Representatives,The Honorable John J. Duncan,6 East Madison Avenue ,"Athens, TN 37303-4297",(423) 745-4671,(423) 745-6025,Duncan,37303-4297
TX05,US Representative,US House of Representatives,The Honorable Jeb Hensarling,702 East Corsicana Street ,"Athens, TX 75751-2629",(903) 675-8288,(903) 675-8351,Hensarling,75751-2629
GA05,US Representative,US House of Representatives,The Honorable John Lewis,"100 Peachtree Street, NW Suite 1920","Atlanta, GA 30303-1906",(404) 659-0116,(404) 331-0947,Lewis,30303-1906
MA03,US Representative,US House of Representatives,The Honorable Jim P. McGovern,8 North Main Street Suite 200,"Attleboro, MA 02703-2282",(508) 431-8025,(508) 431-8017,McGovern,02703-2282
NY24,US Representative,US House of Representatives,The Honorable Richard L. Hanna,110 Genesee Street Suite 110,"Auburn, NY 13021-3622",(315) 252-6700,(315) 252-6709,Hanna,13021-3622
GA12,US Representative,US House of Representatives,The Honorable John Barrow,925 Laney Walker Boulevard Suite 300,"Augusta, GA 30901-2959",(706) 722-4494,(706) 722-4496,Barrow,30901-2959
TX25,US Representative,US House of Representatives,The Honorable Lloyd Doggett,300 East Eighth Street Room 763,"Austin, TX 78701-3224",(512) 916-5921,(512) 916-5108,Doggett,78701-3224
TX10,US Representative,US House of Representatives,The Honorable Michael T. McCaul,5929 Balcones Drive Suite 305,"Austin, TX 78731-4286",(512) 473-2357,(512) 473-0514,McCaul,78731-4286
TX21,US Representative,US House of Representatives,The Honorable Lamar S. Smith,3532 Bee Cave Road Suite 100,"Austin, TX 78746-5466",(512) 306-0439,(512) 306-0427,Smith,78746-5466
FL20,US Representative,US House of Representatives,The Honorable Debbie Wasserman Schultz,19200 West Country Club Drive 3rd Floor,"Aventura, FL 33180-2403",(305) 936-5724,(305) 932-9664,Wasserman Schultz,33180-2403
CA20,US Representative,US House of Representatives,The Honorable Jim Costa,2700 M Street Suite 225,"Bakersfield, CA 93301-2370",(661) 869-1620,(661) 869-1027,Costa,93301-2370
CA22,US Representative,US House of Representatives,The Honorable Kevin McCarthy,4100 Empire Drive Suite 150,"Bakersfield, CA 93309-0409",(661) 327-3611,(661) 637-0867,McCarthy,93309-0409
MO02,US Representative,US House of Representatives,The Honorable Todd Akin,301 Sovereign Court Suite 201,"Ballwin, MO 63011-4442",(314) 590-0029,(314) 590-0037,Akin,63011-4442
MD07,US Representative,US House of Representatives,The Honorable Elijah E. Cummings,1010 Park Avenue Suite 105,"Baltimore, MD 21201-5600",(410) 685-9199,(410) 685-9399,Cummings,21201-5600
ME02,US Representative,US House of Representatives,The Honorable Michael H. Michaud,6 State Street Suite 101,"Bangor, ME 04401-6364",(207) 942-6935,(207) 942-5907,Michaud,04401-6364
OK01,US Representative,US House of Representatives,The Honorable John A. Sullivan,401 South Johnstone Avenue Suite 348,"Bartlesville, OK 74003-6619",(918) 336-6500,(918) 337-4196,Sullivan,74003-6619
LA06,US Representative,US House of Representatives,The Honorable Bill Cassidy,5555 Hilton Avenue Suite 100,"Baton Rouge, LA 70808-2597",(225) 929-7711,(225) 929-7688,Cassidy,70808-2597
GA01,US Representative,US House of Representatives,The Honorable Jack Kingston,PO Box 40 ,"Baxley, GA 31515-0040",(912) 367-7403,(912) 367-7404,Kingston,31515-0040
MI05,US Representative,US House of Representatives,The Honorable Dale E. Kildee,916 Washington Avenue Suite 205,"Bay City, MI 48708-5721",(989) 891-0990,(989) 891-0994,Kildee,48708-5721
NJ13,US Representative,US House of Representatives,The Honorable Albio Sires,630 Avenue C Room 9,"Bayonne, NJ 07002-3878",(201) 823-2900,(201) 858-7139,Sires,07002-3878
NY05,US Representative,US House of Representatives,The Honorable Gary L. Ackerman,218-14 Northern Boulevard Suite 204,"Bayside, NY 11361-3505",(718) 423-2154,(718) 423-5053,Ackerman,11361-3505
TX29,US Representative,US House of Representatives,The Honorable Gene Green,909 Decker Drive Suite 124,"Baytown, TX 77520-4433",(281) 420-0502,(281) 420-0585,Green,77520-4433
SC02,US Representative,US House of Representatives,The Honorable Joe Wilson,PO Box 1538 ,"Beaufort, SC 29901-1538",(843) 521-2530,(843) 521-2535,Wilson,29901-1538
TX02,US Representative,US House of Representatives,The Honorable Ted Poe,505 Orleans Street Suite 100,"Beaumont, TX 77701-3224",(409) 212-1997,(409) 212-8711,Poe,77701-3224
WV03,US Representative,US House of Representatives,The Honorable Nick J. Rahall,109 Main Street ,"Beckley, WV 25801-4610",(304) 252-5000,(304) 252-9803,Rahall,25801-4610
TX15,US Representative,US House of Representatives,The Honorable Ruben Hinojosa,107 South St. Mary's Street ,"Beeville, TX 78102-5619",(361) 358-8400,(361) 358-8407,Hinojosa,78102-5619
MD01,US Representative,US House of Representatives,The Honorable Andy Harris,15 East Churchville Road Suite 102B,"Bel Air, MD 21014-3837",(410) 588-5670,(410) 588-5673,Harris,21014-3837
PA05,US Representative,US House of Representatives,The Honorable Glenn Thompson,3555 Benner Pike Suite 101,"Bellefonte, PA 16823-8474",(814) 353-0215,(814) 353-0218,Thompson,16823-8474
IL12,US Representative,US House of Representatives,The Honorable Jerry F. Costello,144 Lincoln Place Court Suite 4,"Belleville, IL 62221-5884",(618) 233-8026,(618) 233-8765,Costello,62221-5884
WA02,US Representative,US House of Representatives,The Honorable Rick Larsen,119 North Commercial Street Suite 1350,"Bellingham, WA 98225-4452",(360) 733-4500,(360) 733-5144,Larsen,98225-4452
WI02,US Representative,US House of Representatives,The Honorable Tammy Baldwin,400 East Grand Avenue Suite 402,"Beloit, WI 53511-6229",(608) 362-2800,(608) 362-2838,Baldwin,53511-6229
OR02,US Representative,US House of Representatives,The Honorable Greg Walden,1051 Northwest Bond Street Suite 400,"Bend, OR 97701-2958",(541) 389-4408,(541) 389-4452,Walden,97701-2958
PA15,US Representative,US House of Representatives,The Honorable Charlie W. Dent,701 West Broad Street Suite 200,"Bethlehem, PA 18018-5229",(610) 861-9734,(610) 861-9308,Dent,18018-5229
TX19,US Representative,US House of Representatives,The Honorable Randy Neugebauer,1510 Scurry Street Suite B,"Big Spring, TX 79720-4441",(432) 264-0722,(432) 264-1838,Neugebauer,79720-4441
MT01,US Representative,US House of Representatives,The Honorable Denny Rehberg,1201 Grand Avenue Suite One,"Billings, MT 59102-4281",(406) 256-1019,(406) 256-4934,Rehberg,59102-4281
NY22,US Representative,US House of Representatives,The Honorable Maurice D. Hinchey,15 Henry Street Room 100-A,"Binghamton, NY 13901-2724",(607) 773-2768,(607) 773-3176,Hinchey,13901-2724
AL07,US Representative,US House of Representatives,The Honorable Terri A. Sewell,2 20th Street North Suite 1130,"Birmingham, AL 35203-4014",(202) 254-1960,(205) 254-1974,Sewell,35203-4014
AL06,US Representative,US House of Representatives,The Honorable Spencer T. Bachus,1900 International Park Drive Suite 107,"Birmingham, AL 35243-4217",(205) 969-2296,(205) 969-3958,Bachus,35243-4217
ND01,US Representative,US House of Representatives,The Honorable Rick Berg,200 East Rosser Avenue Room 328,"Bismarck, ND 58501",(701) 224-0355,(701) 224-0431,Berg,58501
NJ08,US Representative,US House of Representatives,The Honorable Bill Pascrell,13 Municipal Plaza Room 200-A,"Bloomfield, NJ 07003-3470",(973) 680-1361,(973) 680-1617,Pascrell,07003-3470
IL06,US Representative,US House of Representatives,The Honorable Peter J. Roskam,150 South Bloomingdale Road Room 200,"Bloomingdale, IL 60108-1494",(630) 893-9670,(630) 893-9735,Roskam,60108-1494
IL15,US Representative,US House of Representatives,The Honorable Timothy V. Johnson,202 North Prospect Road Suite 203,"Bloomington, IL 61704-7920",(309) 663-7049,(309) 663-9880,Johnson,61704-7920
IN09,US Representative,US House of Representatives,The Honorable Todd Young,320 West 8th Street Suite 114,"Bloomington, IN 47404-3700",(812) 336-3000,(812) 336-3355,Young,47404-3700
WV03,US Representative,US House of Representatives,The Honorable Nick J. Rahall,601 Federal Street Room 1005,"Bluefield, WV 24701-3033",(304) 325-6222,(304) 325-0552,Rahall,24701-3033
FL19,US Representative,US House of Representatives,The Honorable Ted Deutch,2500 North Military Trail ,"Boca Raton, FL 33409-6344",(561) 988-6302,(561) 988-6423,Deutch,33409-6344
ID02,US Representative,US House of Representatives,The Honorable Mike Simpson,802 West Bannock Street Suite 600,"Boise, ID 83702-5843",(208) 334-1953,(208) 334-9533,Simpson,83702-5843
NC07,US Representative,US House of Representatives,The Honorable Mike McIntyre,"310 Government Center Drive, NE Unit 1","Bolivia, NC 28422-9010",(910) 253-0158,(910) 253-0159,McIntyre,28422-9010
MS02,US Representative,US House of Representatives,The Honorable Bennie G. Thompson,107 West Madison Street ,"Bolton, MS 39041-3208",(601) 866-9003,(601) 866-9036,Thompson,39041-3208
NC05,US Representative,US House of Representatives,The Honorable Virginia Foxx,240 Highway 105 Extension Suite 200,"Boone, NC 28607-4291",(828) 265-0240,(828) 265-0390,Foxx,28607-4291
LA04,US Representative,US House of Representatives,The Honorable John Fleming,700 Benton Road ,"Bossier City, LA 71111-3705",(318) 549-1712,,Fleming,71111-3705
MA09,US Representative,US House of Representatives,The Honorable Stephen F. Lynch,88 Black Falcon Avenue Suite 340,"Boston, MA 02210-2433",(617) 428-2000,(617) 428-2011,Lynch,02210-2433
CO02,US Representative,US House of Representatives,The Honorable Jared Polis,4770 Baseline Road Suite 220,"Boulder, CO 80303-2668",(303) 484-9596,(303) 568-9007,Polis,80303-2668
KY02,US Representative,US House of Representatives,The Honorable Brett Guthrie,1001 Center Street Suite 300,"Bowling Green, KY 42101-2192",(270) 842-9896,(270) 842-9081,Guthrie,42101-2192
OH05,US Representative,US House of Representatives,The Honorable Bob Latta,1045 North Main Street Suite 6,"Bowling Green, OH 43402-1361",(419) 354-8700,(419) 344-8702,Latta,43402-1361
FL13,US Representative,US House of Representatives,The Honorable Vern Buchanan,2424 Manatee Avenue West Suite 104,"Bradenton, FL 34205-4954",(941) 747-9081,(941) 748-1564,Buchanan,34205-4954
CA42,US Representative,US House of Representatives,The Honorable Gary G. Miller,1800 East Lambert Road Suite 150,"Brea, CA 92821-4396",(714) 257-1142,(714) 257-9242,Miller,92821-4396
WA06,US Representative,US House of Representatives,The Honorable Norm Dicks,345 6th Street Suite 500,"Bremerton, WA 98337-1870",(360) 479-4011,(360) 479-2126,Dicks,98337-1870
TX10,US Representative,US House of Representatives,The Honorable Michael T. McCaul,2000 South Market Street Suite 303,"Brenham, TX 77833-5800",(979) 830-8497,(979) 830-1984,McCaul,77833-5800
CT04,US Representative,US House of Representatives,The Honorable Jim A. Himes,211 State Street 2nd Floor,"Bridgeport, CT 06604-4808",(866) 453-0028,(203) 333-6655,Himes,06604-4808
UT01,US Representative,US House of Representatives,The Honorable Rob W. Bishop,Six North Main Street ,"Brigham City, UT 84302-2116",(435) 734-2270,(435) 734-2290,Bishop,84302-2116
IL07,US Representative,US House of Representatives,The Honorable Danny K. Davis,2301 Roosevelt Road ,"Broadview, IL 60155-3854",(708) 345-6857,(708) 345-6715,Davis,60155-3854
MA09,US Representative,US House of Representatives,The Honorable Stephen F. Lynch,155 West Elm Street Suite 200,"Brockton, MA 02301-4326",(508) 586-5555,(508) 580-4692,Lynch,02301-4326
NY17,US Representative,US House of Representatives,The Honorable Eliot L. Engel,3655 Johnson Avenue ,"Bronx, NY 10463-1671",(718) 796-9700,(718) 796-5134,Engel,10463-1671
NY07,US Representative,US House of Representatives,The Honorable Joseph Crowley,2800 Bruckner Boulevard Suite 301,"Bronx, NY 10465-1972",(718) 931-1400,(718) 931-1340,Crowley,10465-1972
NY16,US Representative,US House of Representatives,The Honorable Jose E. Serrano,1231 Lafayette Avenue 4th Floor,"Bronx, NY 10474-5331",(718) 620-0084,(718) 620-0658,Serrano,10474-5331
NY07,US Representative,US House of Representatives,The Honorable Joseph Crowley,177 Dreiser Loop ,"Bronx, NY 10475-2705",(718) 320-2314,,Crowley,10475-2705
WI05,US Representative,US House of Representatives,The Honorable Jim Sensenbrenner,120 Bishops Way Room 154,"Brookfield, WI 53005-6294",(262) 784-1111,(262) 784-9437,Sensenbrenner,53005-6294
MS03,US Representative,US House of Representatives,The Honorable Gregg Harper,230 South Whitworth Street ,"Brookhaven, MS 39601-3343",(601) 823-3400,(601) 823-5512,Harper,39601-3343
NY10,US Representative,US House of Representatives,The Honorable Edolphus Towns,186 Joralemon Street Suite 1102,"Brooklyn, NY 11201-4326",(718) 855-8018,(718) 858-4542,Towns,11201-4326
NY12,US Representative,US House of Representatives,The Honorable Nydia M. Velazquez,266 Broadway Suite 201,"Brooklyn, NY 11211-6125",(718) 599-3658,(718) 599-4537,Velazquez,11211-6125
NY08,US Representative,US House of Representatives,The Honorable Jerrold Nadler,445 Neptune Avenue ,"Brooklyn, NY 11224-4561",(718) 373-3198,(718) 996-0039,Nadler,11224-4561
NY11,US Representative,US House of Representatives,The Honorable Yvette D. Clarke,"123 Linden Boulevard 4th Floor, Suite 200","Brooklyn, NY 11226-3888",(718) 287-1142,(718) 287-1223,Clarke,11226-3888
NY13,US Representative,US House of Representatives,The Honorable Michael G. Grimm,7308 13th Avenue ,"Brooklyn, NY 11228-2011",(718) 630-5277,(718) 630-5388,Grimm,11228-2011
NY09,US Representative,US House of Representatives,The Honorable Anthony D. Weiner,1800 Sheepshead Bay Road ,"Brooklyn, NY 11235-2719",(718) 743-0441,,Weiner,11235-2719
NY10,US Representative,US House of Representatives,The Honorable Edolphus Towns,10408 Flatlands Avenue Store 5,"Brooklyn, NY 11236-2806",(718) 272-1175,(718) 272-1178,Towns,11236-2806
NY12,US Representative,US House of Representatives,The Honorable Nydia M. Velazquez,16 Court Street Suite 1006,"Brooklyn, NY 11241-1010",(718) 222-5819,(718) 222-5830,Velazquez,11241-1010
FL05,US Representative,US House of Representatives,The Honorable Richard B. Nugent,16224 Spring Hill Drive ,"Brooksville, FL 34604-8326",(352) 799-8354,(352) 799-8776,Nugent,34604-8326
TX27,US Representative,US House of Representatives,The Honorable Blake Farenthold,1805 Ruben Torres Suite B-27,"Brownsville, TX 78521-1115",(956) 544-8800,(956) 544-8800,Farenthold,78521-1115
TX11,US Representative,US House of Representatives,The Honorable Mike Conaway,501 Center Avenue ,"Brownwood, TX 76801-2809",(325) 646-1950,(325) 646-2979,Conaway,76801-2809
GA01,US Representative,US House of Representatives,The Honorable Jack Kingston,805 Gloucester Street Room 304,"Brunswick, GA 31520-7073",(912) 265-9010,(912) 265-9013,Kingston,31520-7073
TX17,US Representative,US House of Representatives,The Honorable Bill Flores,4001 29th Street Suite 116,"Bryan, TX 77802-4211",(979) 703-4037,,Flores,77802-4211
WA08,US Representative,US House of Representatives,The Honorable Dave G. Reichert,811 Main Street ,"Buckley, WA 98321-8259",(206) 498-8103,,Reichert,98321-8259
CO05,US Representative,US House of Representatives,The Honorable Doug Lamborn,415 Main Street ,"Buena Vista, CO 81211-8106",(719) 520-0055,(719) 520-0840,Lamborn,81211-8106
NY28,US Representative,US House of Representatives,The Honorable Louise M. Slaughter,465 Main Street Suite 105,"Buffalo, NY 14203-1717",(716) 853-5813,(716) 853-6347,Slaughter,14203-1717
NY27,US Representative,US House of Representatives,The Honorable Brian Higgins,726 Exchange Street Suite 601,"Buffalo, NY 14210-1484",(716) 852-3501,(716) 852-3929,Higgins,14210-1484
VT01,US Representative,US House of Representatives,The Honorable Peter F. Welch,"30 Main Street Third Floor, Suite 350","Burlington, VT 05401-8438",(802) 652-2450,,Welch,05401-8438
MN02,US Representative,US House of Representatives,The Honorable John Kline,101 West Burnsville Parkway Suite 201,"Burnsville, MN 55337-2572",(952) 808-1213,(952) 808-1261,Kline,55337-2572
PA03,US Representative,US House of Representatives,The Honorable Mike Kelly,108 East Diamond Street 1st Floor,"Butler, PA 16001-5947",(724) 282-2557,(724) 282-3682,Kelly,16001-5947
AR01,US Representative,US House of Representatives,The Honorable Rick A. Crawford,112 South First Street ,"Cabot, AR 72023-3007",,(501) 843-4955,Crawford,72023-3007
MI02,US Representative,US House of Representatives,The Honorable Bill Huizenga,210 1/2 North Mitchell Street ,"Cadillac, MI 49601-1835",(231) 775-0050,(231) 775-0298,Huizenga,49601-1835
ID01,US Representative,US House of Representatives,The Honorable Raul R. Labrador,1115 Albany Street ,"Caldwell, ID 83605-3522",(208) 454-5518,,Labrador,83605-3522
CA24,US Representative,US House of Representatives,The Honorable Elton Gallegly,5051 Verdugo Suite 120,"Camarillo, CA 93012-8690",(805) 482-2424,(805) 482-0024,Gallegly,93012-8690
MA08,US Representative,US House of Representatives,The Honorable Michael E. Capuano,110 First Street ,"Cambridge, MA 02141-2109",(617) 621-6208,(617) 621-8628,Capuano,02141-2109
CA15,US Representative,US House of Representatives,The Honorable Mike Honda,1999 South Bascom Avenue Suite 815,"Campbell, CA 95008-2200",(408) 558-8085,(408) 558-8086,Honda,95008-2200
GA06,US Representative,US House of Representatives,The Honorable Tom Price,100 North Street Suite 150,"Canton, GA 30114-2779",(678) 493-6176,(678) 493-6161,Price,30114-2779
OH16,US Representative,US House of Representatives,The Honorable Jim B. Renacci,4150 Belden Village Street Suite 408,"Canton, OH 44718-2553",(330) 489-4414,(380) 493-9265,Renacci,44718-2553
FL14,US Representative,US House of Representatives,The Honorable Connie Mack,"804 Nicholas Parkway, East Suite 1","Cape Coral, FL 33990-2811",(239) 573-5837,(239) 573-9125,Mack,33990-2811
MO08,US Representative,US House of Representatives,The Honorable Jo Ann Emerson,555 Independence Street Suite 1400,"Cape Girardeau, MO 63703-6235",(573) 335-0101,(573) 335-1931,Emerson,63703-6235
IL12,US Representative,US House of Representatives,The Honorable Jerry F. Costello,250 West Cherry Street ,"Carbondale, IL 62901-2856",(618) 529-3791,(618) 549-3768,Costello,62901-2856
PA19,US Representative,US House of Representatives,The Honorable Todd Russell Platts,59 West Louther Street ,"Carlisle, PA 17013-2936",(717) 249-0190,(717) 218-0190,Platts,17013-2936
NY19,US Representative,US House of Representatives,The Honorable Nan Hayworth,47 Gleneida Avenue ,"Carmel, NY 10512",(845) 704-2767,(845) 705-1383,Hayworth,10512
NJ13,US Representative,US House of Representatives,The Honorable Albio Sires,100 Cooke Avenue 2nd Floor,"Carteret, NJ 07008-3065",(732) 969-9160,(732) 969-9167,Sires,07008-3065
AZ01,US Representative,US House of Representatives,The Honorable Paul A. Gosar,211 North Florence Street Unit #3,"Casa Grande, AZ 85122-4414",(520) 836-5289,(520) 836-9831,Gosar,85122-4414
WY01,US Representative,US House of Representatives,The Honorable Cynthia M. Lummis,100 East B Street Suite 4003,"Casper, WY 82602-1969",(307) 261-6595,(307) 261-6597,Lummis,82602-1969
MD07,US Representative,US House of Representatives,The Honorable Elijah E. Cummings,754 Frederick Road ,"Catonsville, MD 21228-4504",(410) 719-8777,(410) 455-0110,Cummings,21228-4504
IA02,US Representative,US House of Representatives,The Honorable Dave Loebsack,150 1st Avenue NE Suite 375,"Cedar Rapids, IA 52401-1133",(319) 364-2288,(319) 364-2994,Loebsack,52401-1133
IL19,US Representative,US House of Representatives,The Honorable John M. Shimkus,221 East Broadway Suite 102,"Centralia, IL 62801-3250",(618) 532-9676,(618) 532-1896,Shimkus,62801-3250
CA39,US Representative,US House of Representatives,The Honorable Linda T. Sanchez,17906 Crusader Avenue Suite 100,"Cerritos, CA 90703-2694",(562) 860-5050,(562) 924-2914,Sanchez,90703-2694
PA09,US Representative,US House of Representatives,The Honorable Bill Shuster,100 Lincoln Way East Suite B,"Chambersburg, PA 17201-2274",(717) 264-8308,(717) 264-0269,Shuster,17201-2274
IL15,US Representative,US House of Representatives,The Honorable Timothy V. Johnson,2004 Fox Drive ,"Champaign, IL 61820-7336",(217) 403-4690,(217) 403-4691,Johnson,61820-7336
NC04,US Representative,US House of Representatives,The Honorable David E. Price,88 Vilcom Circle Suite 140,"Chapel Hill, NC 27514-1665",(919) 967-7924,(919) 967-8324,Price,27514-1665
IL15,US Representative,US House of Representatives,The Honorable Timothy V. Johnson,655 West Lincoln Avenue Unit 8,"Charleston, IL 61920-2426",(217) 348-6759,(217) 348-6761,Johnson,61920-2426
SC01,US Representative,US House of Representatives,The Honorable Tim Scott,2000 Sam Rittenberg Boulevard Suite 3007,"Charleston, SC 29407-4631",(843) 852-2222,(843) 852-2909,Scott,29407-4631
WV02,US Representative,US House of Representatives,The Honorable Shelley Moore Capito,"4815 McCorkle Avenue, SE ","Charleston, WV 25304-1948",(304) 925-5964,(304) 926-8912,Capito,25304-1948
NC12,US Representative,US House of Representatives,The Honorable Mel Watt,1230 West Morehead Street Suite 306,"Charlotte, NC 28208-5214",(704) 344-9950,(704) 334-9971,Watt,28208-5214
NC09,US Representative,US House of Representatives,The Honorable Sue Wilkins Myrick,6525 Morrison Boulevard Suite 100,"Charlotte, NC 28211-0501",(704) 362-1060,(704) 367-0852,Myrick,28211-0501
VA05,US Representative,US House of Representatives,The Honorable Robert Hurt,686 Berkmar Circle ,"Charlottesville, VA 22901-1464",(434) 973-9631,(434) 973-9635,Hurt,22901-1464
TN03,US Representative,US House of Representatives,The Honorable Chuck Fleischmann,900 Georgia Avenue Suite 126,"Chattanooga, TN 37402-2282",,(423) 756-6613,Fleischmann,37402-2282
